UNESCO ID,Site Name,Country,Stone Mentioned,Category,Mention Context
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),Red Sandstone,General Rock,"Most of the ancient city, which was largely built from adobe, has been overlaid by the modern town. Investigations have shown that it was originally clad in sandstone and andisite and surmounted by a temple. The walls of the small semi-subterranean temple (Templete) are made up of 48 pillars in red sandstone. It was made from a single slab of andesite cut to form a large doorway with niches (Hornacinas) on either side."
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia (Plurinational State of),Sandstone,General Rock,"Most of the ancient city, which was largely built from adobe, has been overlaid by the modern town. Investigations have shown that it was originally clad in sandstone and andisite and surmounted by a temple. The walls of the small semi-subterranean temple (Templete) are made up of 48 pillars in red sandstone. It was made from a single slab of andesite cut to form a large doorway with niches (Hornacinas) on either side."
389,Studenica Monastery,Serbia,Marble,General Rock,"Its two principal monuments, the Church of the Virgin and the Church of the King, both built of white marble, enshrine priceless collections of 13th- and 14th-century Byzantine painting. Churches and hermitages are located in the area surrounding the monastery, as well as the quarries and vestiges of a settlement for the workers who mined and shaped the marble used to build the Church of the Virgin. In the protected zone there is a host of churches and hermitages, the marble quarries from which the blocks for the Church of the Virgin Mary were drawn and the remains of a medieval settlement for the quarry workers and stonecutters."
389,Studenica Monastery,Serbia,White Marble,General Rock,"Its two principal monuments, the Church of the Virgin and the Church of the King, both built of white marble, enshrine priceless collections of 13th- and 14th-century Byzantine painting. Churches and hermitages are located in the area surrounding the monastery, as well as the quarries and vestiges of a settlement for the workers who mined and shaped the marble used to build the Church of the Virgin. In the protected zone there is a host of churches and hermitages, the marble quarries from which the blocks for the Church of the Virgin Mary were drawn and the remains of a medieval settlement for the quarry workers and stonecutters."
149,Archaeological Park and Ruins of Quirigua,Guatemala,Sandstone,General Rock,"The artful production of monolithic stone monuments, carved in sandstone without the use of metal tools, is outstanding. Authenticity  The monuments that make up Quirigua include stelae, altars and zoomorphic sculptures (animal-shaped sculpture), carved in sandstone and used to honour the Mayan rulers of Quirigua.   Each monument captures the rulers’ image and is accompanied by hieroglyphic text with dates as well as mythical, historical and political events."
130,Ħal Saflieni Hypogeum,Malta,Chert,General Rock,"2500 B.C., using cyclopean rigging to lift huge blocks of coralline limestone. The plan of the Hypogeum itself is a series of three superimposed levels of chambers cut into soft globigerina limestone, using only chert, flint and obsidian tools and antlers."
130,Ħal Saflieni Hypogeum,Malta,Coralline,General Rock,"2500 B.C., using cyclopean rigging to lift huge blocks of coralline limestone. The plan of the Hypogeum itself is a series of three superimposed levels of chambers cut into soft globigerina limestone, using only chert, flint and obsidian tools and antlers."
130,Ħal Saflieni Hypogeum,Malta,Coralline Limestone,General Rock,"2500 B.C., using cyclopean rigging to lift huge blocks of coralline limestone. The plan of the Hypogeum itself is a series of three superimposed levels of chambers cut into soft globigerina limestone, using only chert, flint and obsidian tools and antlers."
130,Ħal Saflieni Hypogeum,Malta,Flint,General Rock,"2500 B.C., using cyclopean rigging to lift huge blocks of coralline limestone. The plan of the Hypogeum itself is a series of three superimposed levels of chambers cut into soft globigerina limestone, using only chert, flint and obsidian tools and antlers."
130,Ħal Saflieni Hypogeum,Malta,Limestone,General Rock,"2500 B.C., using cyclopean rigging to lift huge blocks of coralline limestone. The plan of the Hypogeum itself is a series of three superimposed levels of chambers cut into soft globigerina limestone, using only chert, flint and obsidian tools and antlers."
130,Ħal Saflieni Hypogeum,Malta,Obsidian,General Rock,"2500 B.C., using cyclopean rigging to lift huge blocks of coralline limestone. The plan of the Hypogeum itself is a series of three superimposed levels of chambers cut into soft globigerina limestone, using only chert, flint and obsidian tools and antlers."
1361,"Historic Jeddah, the Gate to Makkah",Saudi Arabia,Coral Stone,General Rock,"The style is characterized by the imposing tower houses decorated by large wooden Roshan built in the late 19th century by the city`s mercantile elites, and also by lower coral stone houses, mosques, ribat-s, suqs and small public squares that together compose a vibrant space."
736,Seokguram Grotto and Bulguksa Temple,Republic of Korea,Granite,General Rock,"Seokguram is an artificial grotto constructed of granite that comprises an antechamber, a corridor and a main rotunda. Criterion (i):  The Seokguram Grotto, with its statue of Buddha surrounded by Bodhisattvas, the Ten Disciples, Eight Divine Guardians, two Devas, and two Vajrapanis all carved from white granite, is a masterpiece of East Asian Buddhist Art."
736,Seokguram Grotto and Bulguksa Temple,Republic of Korea,White Granite,General Rock,"Seokguram is an artificial grotto constructed of granite that comprises an antechamber, a corridor and a main rotunda. Criterion (i):  The Seokguram Grotto, with its statue of Buddha surrounded by Bodhisattvas, the Ten Disciples, Eight Divine Guardians, two Devas, and two Vajrapanis all carved from white granite, is a masterpiece of East Asian Buddhist Art."
442,Monticello and the University of Virginia in Charlottesville,United States of America,Coal,General Rock,"The Thomas Jefferson Foundation is addressing development issues, and the University is addressing continuing humidity issues, has installed scrubbers on its coal power plant to reduce emissions, and is inoculating trees against the Emerald Ash Borer."
726,Historic Centre of Naples,Italy,Marble,General Rock,"There is remarkable continuity in the use of materials, all derived locally, and distinctive visual and material features, such as the basic yellow tufa, white marble, and the grey  piperno  ."
726,Historic Centre of Naples,Italy,Piperno,General Rock,"There is remarkable continuity in the use of materials, all derived locally, and distinctive visual and material features, such as the basic yellow tufa, white marble, and the grey  piperno  ."
726,Historic Centre of Naples,Italy,Tufa,General Rock,"There is remarkable continuity in the use of materials, all derived locally, and distinctive visual and material features, such as the basic yellow tufa, white marble, and the grey  piperno  ."
726,Historic Centre of Naples,Italy,White Marble,General Rock,"There is remarkable continuity in the use of materials, all derived locally, and distinctive visual and material features, such as the basic yellow tufa, white marble, and the grey  piperno  ."
1463,Aqueduct of Padre Tembleque Hydraulic System,Mexico,Adobe,General Rock,"Initiated by the Franciscan friar, Padre Tembleque, and built with support from the local indigenous communities, this hydraulic system is an example of the exchange of influences between the European tradition of Roman hydraulics and traditional Mesoamerican construction techniques, including the use of adobe. Criterion (i):  The aqueduct bridge of Tepeyahualco is an architectural masterpiece integrating the highest single-level arcade ever built in aqueducts from Roman times until the middle of the 16th century, achieved as a result of the ingenious use of an adobe formwork as an alternative to scaffolding. Although the use of adobe brick instead of wood was applied elsewhere in Mexico, it was not often and certainly not with the same dramatic effect as in the aqueduct, which bridges the Tepeyahualco Ravine and the Papalote River. Criterion (ii):  The hydraulic system of Padre Tembleque exhibits an important interchange of European tradition in terms of the conjunction of the Roman heritage of masonry aqueducts, hydraulic management techniques inspired by Arab-Andalusian know-how, and pre-Hispanic indigenous tradition as well as Mesoamerican culture, represented by the use of the traditional social organization of collective working, the utilization and adaptation of local methods of adobe construction as well as the presence of glyphs illustrating symbols and cosmology in several arcade structures."
434,"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",Oman,Flint,General Rock,"2200-2000).  All of the stone-built towers show dressed blocks of local limestone laid carefully with simple mud mortar.  While conclusive evidence of their function is still missing, they seem to be platforms on which superstructures (now missing) were built – either houses, or temples, or something else entirely. The continuous and systematic survey activities constantly increase the types and number of monuments and sites to be documented and protected, which include villages and multiple towers, quarries associated with the Bronze Age stone-masonry workshops, Bronze Age necropolises, an Iron Age fort, Iron Age tombs, and two Neolithic flint mines connected with workshop areas for stone tool-making."
434,"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",Oman,Limestone,General Rock,"2200-2000).  All of the stone-built towers show dressed blocks of local limestone laid carefully with simple mud mortar.  While conclusive evidence of their function is still missing, they seem to be platforms on which superstructures (now missing) were built – either houses, or temples, or something else entirely. The continuous and systematic survey activities constantly increase the types and number of monuments and sites to be documented and protected, which include villages and multiple towers, quarries associated with the Bronze Age stone-masonry workshops, Bronze Age necropolises, an Iron Age fort, Iron Age tombs, and two Neolithic flint mines connected with workshop areas for stone tool-making."
910,Brimstone Hill Fortress National Park,Saint Kitts and Nevis,Basalt,General Rock,The principal structures of the fortress are situated on different levels of the upper third of the hill and were constructed in dressed stone (basalt) blocks with a rubble core. Local limestone was used as a decorative element for quoins and for facing round doorways and embrasures.
910,Brimstone Hill Fortress National Park,Saint Kitts and Nevis,Limestone,General Rock,The principal structures of the fortress are situated on different levels of the upper third of the hill and were constructed in dressed stone (basalt) blocks with a rubble core. Local limestone was used as a decorative element for quoins and for facing round doorways and embrasures.
537,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",Greece,Marble,General Rock,"In the 11th and 12th centuries they were decorated with superb marble works as well as mosaics on a gold background, all characteristic of the 'second golden age of Byzantine art'. In the 11th and 12th centuries they were decorated with superb marble works as well as mosaics on a gold background, all characteristic of the second golden age of Byzantine art. This  includes architectural and decorative elements  , namely the mosaics, frescoes, architectural  sculptures  ,  marble revetment  and pavements. These are expressed in the construction of the Katholikon (main church), with courses of stone enclosed by bricks, the wealth of decorative brickwork surrounding the windows and the interior decoration consisting of wall mosaics and decorative marble, which have been enhanced after the restoration and conservation work. The Katholikon (main church) of Nea Moni has preserved its authentic mosaic decoration and the marble revetment of the lower parts, even its initial pavement."
364,Great Zimbabwe National Monument,Zimbabwe,Granite,General Rock,"The Hill Ruins, forming a huge granite mass atop a spur facing north-east/south-west, were continuously inhabited from the 11th to 15th centuries, and there are numerous layers of traces of human settlements. Rough granite rubble-stone blocks form distinct enclosures, accessed by narrow, partly covered, passageways. This acropolis is generally considered a 'royal city'; the west enclosure is thought to have been the residence of successive chiefs and the east enclosure, where six steatite upright posts topped with birds were found, considered to serve a ritual purpose. It was built of cut granite blocks, laid in regular courses, and contains a series of daga-hut living quarters, a community area, and a narrow passage leading to a high conical tower. The bricks (daga) were made from a mixture of granitic sand and clay. A monumental granite cross, located at a traditionally revered and sacred spiritual site, also illustrates community contact with missionaries. Criterion (vi):  The entire Zimbabwe nation has identified with this historically symbolic ensemble and has adopted as its emblem the steatite bird, which may have been a royal totem. The divine soapstone figurines, the Zimbabwe Birds, found within the ruins are testimony to the use of the site as place of worship spanning from the ancient past to the present day."
364,Great Zimbabwe National Monument,Zimbabwe,Granitic,General Rock,"The Hill Ruins, forming a huge granite mass atop a spur facing north-east/south-west, were continuously inhabited from the 11th to 15th centuries, and there are numerous layers of traces of human settlements. Rough granite rubble-stone blocks form distinct enclosures, accessed by narrow, partly covered, passageways. This acropolis is generally considered a 'royal city'; the west enclosure is thought to have been the residence of successive chiefs and the east enclosure, where six steatite upright posts topped with birds were found, considered to serve a ritual purpose. It was built of cut granite blocks, laid in regular courses, and contains a series of daga-hut living quarters, a community area, and a narrow passage leading to a high conical tower. The bricks (daga) were made from a mixture of granitic sand and clay. A monumental granite cross, located at a traditionally revered and sacred spiritual site, also illustrates community contact with missionaries. Criterion (vi):  The entire Zimbabwe nation has identified with this historically symbolic ensemble and has adopted as its emblem the steatite bird, which may have been a royal totem. The divine soapstone figurines, the Zimbabwe Birds, found within the ruins are testimony to the use of the site as place of worship spanning from the ancient past to the present day."
