Site ID,Site Name,Country,UNESCO Mention,Mentioned Major Stone(s),Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
306,Matobo Hills,Zimbabwe,Yes,Granite,"Building, Indigenous, Monument, Plan, Structure, Traditional; nan",Internal (DS/OUV),,"Early Stone Age, Stone Age, Iron Age (up to 500,000 years of occupation)",Internal (DS/OUV),,"Foraging/Hunter-gatherer societies (Stone Age), Agricultural societies (Iron Age)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Internal (DS/OUV),,Igneous Rock,,,"Granite batholiths, granite shield landforms",Internal (DS/OUV),,,,,,,,,,,,,,,,,Granitic / Massive rock landforms,Internal (DS/OUV),,,,,,,,,,,Local (natural rock formations and shelters in situ),Internal (DS/OUV),,,,,"Natural rock shelters, rock batholiths, shrines, terraces, walls",Internal (DS/OUV),,Rock art / Rock paintings on granite cave surfaces,Internal (DS/OUV),,Wooden palisade demarcating shrines; drystone/indigenous alignment (traditional human interaction rather than formal dressed masonry),Internal (DS/OUV),,"Natural weathering, soil erosion, and light visitor impact",Internal (DS/OUV),,,,,Linseed oil experimental application (1920s at Pomongwe Cave),Internal (DS/OUV),,Moderate,,,,,,Tier 9: Unflagged,
310,Cave of Altamira and Paleolithic Cave Art of Northern Spain,Spain,Yes,Flint (used as a tool),Cave art; nan,Internal (DS/OUV),,"Upper Palaeolithic (35,000 – 11,000 BP / BC)",Internal (DS/OUV),,Aurignacian to Magdalenian period (Homo sapiens / Upper Palaeolithic Hunter-gatherers),Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,,,Igneous Rock,,,,,,,,,Karst caves / limestone cavities (implied by karst environment),Internal (DS/OUV),,Upper Palaeolithic (Quaternary),Internal (DS/OUV),,,,,,,,,,,"Iron oxides, Manganese oxides",,,Direct originating from the immediate environment,Internal (DS/OUV),,Spain,Internal (DS/OUV),,Local (materials directly originating from the immediate environment),Internal (DS/OUV),,,,,"Ceiling, Foundation, Gallery, Wall",Internal (DS/OUV),,"Rock / Cave Art (painting, engraving, carving, sculpture)",Internal (DS/OUV),,,,,"Natural causes, water run-off, external climatic influences, microbiological activities",Internal (DS/OUV),,,,,No restoration has ever been carried out on Palaeolithic works of art,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
323,Royal Palaces of Abomey,Benin,Yes,Laterite,"Cob-wall fortified palace ensemble with courtyards (outer, inner, private), portals, and traditional structures (Djexo, Adoxo); nan",Internal (DS/OUV),,1625 to 1900,Internal (DS/OUV),,Kingdom of Dahomey / Aja-Fon culture,Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,"Red / Earth tone (implied by laterite clay/cob, but explicit geological color profile is NA)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Enclosure walls, sacred structures (Djexo, Adoxo tombs), and palaces",Internal (DS/OUV),,Polychrome bas-reliefs,Internal (DS/OUV),,"Cob-wall construction (bâtiment en bauge) using laterite earth, water, wood, and straw",Internal (DS/OUV),,Precariousness of earth/traditional building materials under natural phenomena,Internal (DS/OUV),,"Traditional materials (laterite, wood, straw) used during rehabilitation",Internal (DS/OUV),,Over half of the 184 identified components restored in accordance with accepted conservation standards; monitored via risk management and conservation plans,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,,,,Tier 9: Unflagged,
326,Petra,Jordan,Yes,"Red Sandstone, Sandstone","Architectural, Architecture, Building, Byzantine, Design, Facade, Monument, Monumental, Plan, Structure, Traditional (also Nabataean, Hellenistic, Roman, Graeco-Roman); nan",Internal (DS/OUV),,"Prehistoric times; first centuries BC to AD (Nabataean, Roman, Byzantine); Iron Age, Chalcolithic, Crusader/Medieval",Internal (DS/OUV),,"Nabataean, Roman, Byzantine, Hellenistic, Assyrian, Greek, Crusader",Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,,,,,,,Sandstone,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,Local (rock-cut directly into surrounding cliffs and gorges),Internal (DS/OUV),,,,,"Half-built, half-carved rock-cut structures, tombs, temples, water channels, dams, cisterns, city walls, arches",Internal (DS/OUV),,"Monumental rock-cut facades, capitals, funerary stelae",Internal (DS/OUV),,Rock-cut / Ashlar Freestanding Masonry,Internal (DS/OUV),,"Ongoing erosion due to wind and rain, exacerbated by windblown sand and natural decay of the sandstone architecture",Internal (DS/OUV),,,,,Stabilization of freestanding monuments including Qasr al Bint temple and the vaulted structure supporting the Byzantine forecourt,Internal (DS/OUV),,Moderate,,,,,,Tier 9: Unflagged,
334,Sanctuary of Bom Jesus do Congonhas,Brazil,Yes,Soapstone (pedra sabão),"Sanctuary, Basilica, Church, Chapels, Outdoor staircase; nan",Internal (DS/OUV),,Second half of the 18th century (Church completed in 1772),Internal (DS/OUV),,Portuguese America / Latin American Baroque (Brazil),Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,,,,,,,pedra sabão,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parapets of the divided staircase, statues of the 12 prophets, and general stonework",Internal (DS/OUV),,,,,,,,,,,Conservation and reclamation programs supported by IPHAN and the Monumenta Program,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
344,Pont du Gard (Roman Aqueduct),France,Yes,"Large stone blocks (lower two levels), small stone rubble, abutting flagstones (upper canal)",Aqueduct / Aqueduct bridge; nan,Internal (DS/OUV),,Middle of the 1st century AD (shortly before the Christian era / early Imperial era),Internal (DS/OUV),,Ancient Roman,Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Three-storey aqueduct bridge (arches, piers, voussoirs, piers with protective lips) carrying a water conduit",Internal (DS/OUV),,,,,"Large stone blocks assembled on lower levels; small rubble with flagstones at upper level; dry assembly with stonecutters' and quarrymen's marks, engraved positioning codes, and juxtaposed rollers of voussoirs",Internal (DS/OUV),,"Loss of stones, disappearance of 12 arches upstream during the Middle Ages, and spoliation/cutting into piers for road usage",Internal (DS/OUV),,,,,"Repair of piers (1699–1702), construction of corbels, attachment of Pitot road bridge (1746), and continuous restoration campaigns since the end of the 17th century",Internal (DS/OUV),,Excellent,,,,,,Tier 9: Unflagged,
352,Rock Art of Alta,Norway,Yes,"Sandstone,",cave art; nan,Internal (DS/OUV),,c. 5000 B.C. to c. A.D. 0 (Year 0) / c. 4200 to 500 B.C.,Internal (DS/OUV),,Prehistoric Hunter-Gatherers / Circumpolar Prehistoric Societies,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,"Red Slate, Slate; Quartz-rich Sandstone, Red Ochre Clay (pigment)",Internal (DS/OUV),,,,,"Quartz-rich Sandstone, Slates",Internal (DS/OUV),,,,,Post-glacial raised shoreline / Bedrock panels,Internal (DS/OUV),,Red (Slate & Ochre pigment),Internal (DS/OUV),,"Very hard, fine-grained",Internal (DS/OUV),,Quartz,Internal (DS/OUV),,In situ bedrock (No quarrying; carved directly into bedrock panels and loose boulders),Internal (DS/OUV),,Norway,Internal (DS/OUV),,Local (In situ bedrock),Internal (DS/OUV),,,,,Substrate / Canvas (Petroglyphs and rock paintings inscribed onto rock faces/slabs),Internal (DS/OUV),,"Engravings, Chiselled petroglyphs, Painted rock art",Internal (DS/OUV),,Chiselling / Hammering / Painting with red ochre clay and animal fat,Internal (DS/OUV),,"Natural erosion, vegetation, frost weathering, cracking, lichen growth",Internal (DS/OUV),,,,,Lichen removal/cleaning techniques; Red paint repainting on carved tracks for visitor visibility,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
353,Chaco Culture,United States of America,Yes,Sandstone,"Multi-storey ""great houses"", public and ceremonial buildings, kivas; nan",Internal (DS/OUV),,Mid-9th to early 13th centuries (Height: ~1020–1110),Internal (DS/OUV),,Pre-Columbian / Ancestral Pueblo (Chacoan society),Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walls standing more than five storeys tall,Internal (DS/OUV),,,,,Coursemasonry with sandstone and mud mortar,Internal (DS/OUV),,,,,,,,"Partial site reburial, fencing, patrolling, and stabilization",Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
364,Great Zimbabwe National Monument,Zimbabwe,Yes,Granite,"Dry-stone monumental masonry architecture (Hill Ruins, Great Enclosure, Valley Ruins, Conical Tower, Enclosure Walls); nan",Internal (DS/OUV),,1100 to 1450 AD (11th to 15th centuries AD),Internal (DS/OUV),,Bantu / Shona civilization (Iron Age),Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Igneous Rock,,,Soapstone / Steatite (used for upright posts and carved Zimbabwe Birds); Granitic sand and clay mixture (Daga),Internal (DS/OUV),,"Daga (traditional mixture of clay and granitic sand used for bricks, huts, and floors)",Internal (DS/OUV),,Biotite Granite / Talc-schist (Steatite),External,https://www.iccrom.org/sites/default/files/publications/2019-11/iccrom_ics04_zimbabwe_en.pdf,,,,,,,,,,,,,,,,Local granite hill outcrops and naturally exfoliated granite spalls surrounding the Great Zimbabwe site,Internal (DS/OUV),,Zimbabwe,Internal (DS/OUV),,Local (Granite obtained directly at the site; Steatite sourced regionally within Zimbabwe),Internal (DS/OUV),,,,,"Enclosure perimeter walls, Conical Tower, passageways, foundations, and lintels",Internal (DS/OUV),,"Chevron pattern, chequered wall decorations, carved upright ritual posts, and soapstone bird figurines",Internal (DS/OUV),,"Dry stone masonry without mortar, laid in regular horizontal courses using split/dressed granite blocks",Internal (DS/OUV),,"Temperature fluctuations, soil moisture variations, and invasive vegetation encroachment (Lantana camara)",Internal (DS/OUV),,,,,"Dry-stone wall collapse monitoring, vegetation control, and structural stabilization under the National Museums and Monuments of Zimbabwe (NMMZ)",Internal (DS/OUV),,Good,,,"ICOMOS Advisory Body Evaluation, ICCROM Preservation Study, MDPI Heritage & Sustainability Article",,,Tier 9: Unflagged,
365,Khami Ruins National Monument,Zimbabwe,Yes,Granite,Complex series of platforms of dry-stone walled structures; nan,Internal (DS/OUV),,1450 – 1650,Internal (DS/OUV),,Torwa dynasty (arose from the collapse of the Great Zimbabwe Kingdom),Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Igneous Rock,,,,,,,,,Granite,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,Local (Dry-stone building traditions surrounding the site area),Internal (DS/OUV),,,,,"Retaining walls/revetments, platforms, passage ways, perambulatory galleries, Chief's residence (Mambo), terraces, and a monumental granite cross",Internal (DS/OUV),,"Retaining walls/revetments, platforms, passage ways, perambulatory galleries, Chief's residence (Mambo), terraces, and a monumental granite cross",,,Dry-stone masonry / Anastylosis (for restoration),Internal (DS/OUV),,"Variations in temperature, rain-induced ground creepage (causing wall cracks, bulges, and collapses), ground water, natural erosion, encroaching vegetation",Internal (DS/OUV),,None used (restoration uses traditional methods/anastylosis with no new materials added),Internal (DS/OUV),,Anastylosis using traditional methods without adding new materials,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,,,,Tier 9: Unflagged,
367,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",Germany,Yes,Marble,"Roman, Romanesque, Gothic, High Gothic, Renaissance, Baroque; nan",Internal (DS/OUV),,,Internal (DS/OUV),,Roman / Western Roman Empire / German Christian Medieval,Internal (DS/OUV),,,,,Internal (DS/OUV),,Metamorphic Rock,Internal (DS/OUV),,,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fortified gate, city walls, basilicas, thermae/baths, bridge, column, cathedral, church structures",Internal (DS/OUV),,"Baroque marble altars, archbishops' tombs, painted ceiling",Internal (DS/OUV),,"Large stone construction (Porta Nigra), brick monumental structures (Basilica)",Internal (DS/OUV),,,,,,,,Reconstructed/restored in the 19th century; WW2 damage restored between 1946–1949 (Church of Our Lady) and 1954–1956 (Basilica),Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
373,"Stonehenge, Avebury and Associated Sites",United Kingdom of Great Britain and Northern Ireland,Yes,"Wiltshire Sarsen Sandstone and Bluestone (dolerite, rhyolite, tuffs)","Megalithic stone circles, henges, barrows, avenues, and earthen earthworks/mounds.; nan",Internal (DS/OUV),,Circa 3700 BC – 1600 BC (Neolithic to Early Bronze Age); focal stone circle built ~2500 BC.,Internal (DS/OUV),,Prehistoric Britain (Neolithic and Bronze Age societies).,Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,"Chalk (used in earthworks/mounds like Silbury Hill), Altar Stone (Metasandstone), Quartz veins, packing stones",Internal (DS/OUV),,"Sarsen (Silcrete), Chalk",,,,,,,,,,,,,,,,,,,,,,,,United Kingdom (England & Wales),Internal (DS/OUV),,"Sarsens: Local/Regional (~25 km).
Bluestones: Imported (~200–240 km).",External,"Nash, D. J., Ciborowski, T. J. R., Ullyott, J. S., Pearson, M. P., Darvill, T., Greaney, S., Maniatis, G., & Whitaker, K. A. (2020). Origins of the sarsen megaliths at Stonehenge. Science Advances, 6(31), eabc0133. https://doi.org/10.1126/sciadv.abc0133",~25 km for Sarsens; up to 240 km for Bluestones.,Internal (DS/OUV),,"Standing megalithic uprights, horizontal lintels, central trilithons, inner/outer concentric circles, horseshoe arrangements, packing stones.",Internal (DS/OUV),,Unique surface shaping/dressing of megalithic stones; intentional arrangement of bluestone contrast.,Internal (DS/OUV),,"Mortise-and-tenon jointing, tongue-and-groove lintel capping, dressed/shaped megaliths.",Internal (DS/OUV),,"Weathering from surface erosion, natural environmental exposure, animal burrowing, and historic visitor traffic.",Internal (DS/OUV),,,,,"Early to mid-20th-century interventions involving excavation, re-erection of fallen or buried stones to their original positions, and modern site consolidation.",,,Good,Internal (DS/OUV),,"1. Nash et al., 2020 - Science Advances


2. Parker Pearson et al., 2015 - Antiquity


3. Whitaker, 2019 - Oxford Journal of Archaeology


4. Lott, 2013 - Quarterly Journal of Engineering Geology and Hydrogeology",,,Tier 9: Unflagged,
384,Old Town of Cáceres,Spain,Yes,Granite,"Roman, Islamic, Northern Gothic, Italian Renaissance, Fortified/Nobility architecture (fortress-houses, palace-houses); nan",Internal (DS/OUV),,"14th to 16th centuries (including 15th-century fortress-houses & 16th-century palace-houses; traces back to Roman, Arab/Almohad, & Pre-Roman times)",Internal (DS/OUV),,"Pre-Roman, Roman, Islamic / Arab (Almohades), Jewish, Medieval Christian",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,Internal (DS/OUV),,Igneous Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,Internal (DS/OUV),,Local (Inferred from nobility/masonry constructions),Internal (DS/OUV),,,,,"Defenses, Defensive walls, Towers (Torre del Bujaco, Torre Mochada, Púlpitos), Fortified houses, Palaces, Churches",Internal (DS/OUV),,,,,Granite Masonry,Internal (DS/OUV),,,,,,,,Historical refurbishment during medieval Christian times & Almohade phase; modern physical and functional rehabilitation under the Special Revitalization and Protection Plan,,,Excellent,Internal (DS/OUV),,,,,Tier 9: Unflagged,
385,Old City of Sana'a,Yemen,Yes,Gypsum,"Homogeneous architectural ensemble; multi-storeyed tower-houses, minarets, mosques, hammams (baths), caravanserais, and city walls.; nan",Internal (DS/OUV),,"Houses and structures built continuously over 2,500 years; pre-11th century houses and mosques; 16th-century Ottoman additions.",Internal (DS/OUV),,"Pre-Islamic Yemenite kingdoms, Abyssinian (Christian, 525–575 AD), Islamic / Arab, and Ottoman civilizations.",Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,White (gypsum); Ochre / Bistre (earth and burnt brick),Internal (DS/OUV),,,,,"Gypsum (Calcium sulfate dihydrate, $CaSO_4 \cdot 2H_2O$",Internal (DS/OUV),,,,,Yemen (implied by local materials),Internal (DS/OUV),,"Local materials (""exceptional craftsmanship in the use of local materials and techniques"")",Internal (DS/OUV),,"Nearby/Immediate local area (""bistre-colored earth of the nearby mountains"")",Internal (DS/OUV),,Stone-built ground floors supporting upper multi-storeyed tower-houses; city boundary walls.,Internal (DS/OUV),,Fired brick combined with white gypsum applied for geometric surface patterns on building facades.,Internal (DS/OUV),,Stone masonry for lower levels; rammed earth (pisé) and burnt brick for upper floors.,Internal (DS/OUV),,,,,,,,Traditional conservation practices noted; vulnerable to incorrect contemporary conservation practices and development.,Internal (DS/OUV),,Moderate,,,,,,Tier 9: Unflagged,
389,Studenica Monastery,Serbia,Yes,White Marble,Monastic complex; Raška School of eastern medieval church architecture blending Romanesque (exterior) and Byzantine (interior/frescoes) styles. Single-nave domed churches.; nan,Internal (DS/OUV),,Late 12th century (established ~1183–1196 by Stefan Nemanja); King’s Church added in 1314,Internal (DS/OUV),,Medieval Serbian State / Serbian Orthodox Church (Nemanjić Dynasty).,Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Metamorphic Rock,,,,,,Studenica Marble (Studenički mermer),External,"Debljović Ristić, N., Šekularac, N., Mijović, D., & Ivanović Šekularac, J. (2019). Studenica Marble: Significance, Use, Conservation. Sustainability, 11(14), 3916. https://doi.org/10.3390/su11143916",,,,,,,,,,White / Light Grey,Internal (DS/OUV),,,,,,,,Quarries located in the immediate protected surrounding zone near the monastery (along the Studenica/Radočelo mountain area),Internal (DS/OUV),,Serbia,Internal (DS/OUV),,Local,Internal (DS/OUV),,Short / Local transport (within a few kilometers of the complex),Internal (DS/OUV),,"Load-bearing exterior walls, portals, window openings (biforas/triforas), and structural masonry of the Church of the Virgin",Internal (DS/OUV),,"Sculpted relief portals, decorative capitals, cornices, and window frames",Internal (DS/OUV),,Ashlar masonry (polished white marble blocks precisely cut and fitted in Romanesque style),Internal (DS/OUV),,"Environmental pressure, surface weathering, and water accumulation/moisture near the monastery walls",Internal (DS/OUV),,Matching local marble used during conservation projects following historical research,Internal (DS/OUV),,Ongoing conservation and archaeological investigations; major restoration in the exonarthex of the Church of the Virgin using traditional materials and techniques,Internal (DS/OUV),,Good,Internal (DS/OUV),,"1. ICOMOS Advisory Body Evaluation (1986)
2. Debljović Ristić et al. (2019) Studenica Marble: Significance, Use, Conservation, Sustainability
3. Petrović et al. (2025) Geotourism Based on Geoheritage as a Basis for Sustainable Development of Golija Nature Park, Land 1",,,Tier 9: Unflagged,
392,Temple of Apollo Epicurius at Bassae,Greece,Yes,Limestone,Columned Temple / Sanctuary; nan,Internal (DS/OUV),,Second half of the 5th century BC (420–400 BC),Internal (DS/OUV),,Ancient Greek / Classical Greek Civilization,Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,Local limestone,Internal (DS/OUV),,,,,,,,,,,Grey (Arcadian mountain limestone),Internal (DS/OUV),,,,,,,,Local quarries (surrounding Arkadian mountains),Internal (DS/OUV),,Greece,Internal (DS/OUV),,Local,Internal (DS/OUV),,,,,"Colonnade (Doric outer columns), Cella, Adyton, Columns (Ionic and Corinthian)",Internal (DS/OUV),,"Sculptured frieze, Corinthian capital",Internal (DS/OUV),,Classical Greek dry masonry (Archaic/Doric blend),Internal (DS/OUV),,"Deterioration from extreme weather, temperature variations, strong wind, water, and seismic activity",Internal (DS/OUV),,Local limestone (matching the original material used in the monument),Internal (DS/OUV),,"Systemic restoration ongoing since 2001; installation of a protective shelter, anti-seismic netting, and drainage system",Internal (DS/OUV),,Excellent,,,,,,Tier 9: Unflagged,
395,"Piazza del Duomo, Pisa",Italy,Yes,Marble (General Mention); Carrara Marble,"Religious Ensemble / Pisan Romanesque Architecture (Cathedral, Baptistery, Campanile/Leaning Tower, Campo Santo); nan",Internal (DS/OUV),,11th–14th Century (begun in 1064),Internal (DS/OUV),,Medieval Italian / Maritime Republic of Pisa,Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Metamorphic Rock,,,,,,,,,,,,,,,,,,,,,"White/Light Grey (Marble),",Internal (DS/OUV),,,,,"Carrara Quarries (Apuan Alps), San Giuliano Terme (Monti Pisani), Giglio Island Quarries",External,"Fratini, F., Rescic, S., Cuzman, O. A., & Pierattini, P. (2022). The Alteration of Giglio Island Granite: Relevance to the Conservation of Monumental Architecture. Applied Sciences, 12(9), 4588. https://doi.org/10.3390/app12094588",Italy,Internal (DS/OUV),,Mixed (Local from Monti Pisani ~10 km; Regional from Carrara ~60 km & Giglio ~150 km),External,"Fratini, F., Rescic, S., Cuzman, O. A., & Pierattini, P. (2022). The Alteration of Giglio Island Granite: Relevance to the Conservation of Monumental Architecture. Applied Sciences, 12(9), 4588. https://doi.org/10.3390/app12094588",~10 km (San Giuliano) to ~150 km (Giglio Island via sea/river),External,"Fratini, F., Rescic, S., Cuzman, O. A., & Pierattini, P. (2022). The Alteration of Giglio Island Granite: Relevance to the Conservation of Monumental Architecture. Applied Sciences, 12(9), 4588. https://doi.org/10.3390/app12094588","Foundation ashlar, structural load-bearing walls, exterior arcades, columns",Internal (DS/OUV),,"Polychrome facade cladding, carved pulpits, loggias, relief panels, arches",Internal (DS/OUV),,,,,,,,,,,"Geotechnical soil extraction & counterweighting (tower stabilization), marble surface cleaning, consolidation",Internal (DS/OUV),,Good,Internal (DS/OUV),,"Fratini, F., Rescic, S., Cuzman, O. A., & Pierattini, P. (2022). The Alteration of Giglio Island Granite: Relevance to the Conservation of Monumental Architecture. Applied Sciences, 12(9), 4588. https://doi.org/10.3390/app12094588",,,Tier 9: Unflagged,
398,Castel del Monte,Italy,Yes,"Limestone, Marble.","Medieval military architecture (a blend of classical antiquity, Islamic Orient, and north European Cistercian Gothic).; nan",Internal (DS/OUV),,Completed in 1240 (13th century).,Internal (DS/OUV),,Holy Roman Empire / Germanic Emperor (Emperor Frederick II of Hohenstaufen).,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;",Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,Mosaic interior decorative elements (materials decayed/removed).,Internal (DS/OUV),,,,,"Limestone (exterior blocks), Marble (interior elements).",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Exterior block construction (limestone), octagonal towers, walls, octagonal plan.",Internal (DS/OUV),,"Interior decorative elements, floorings/walls (marble and mosaic).",Internal (DS/OUV),,Exterior limestone block masonry construction.,Internal (DS/OUV),,Degradation and removal/decay of interior marble and mosaic decorations.,Internal (DS/OUV),,,,,Good quality conservation work consistent with Italian standards carried out since 1878.,Internal (DS/OUV),,Good,,,,,,Tier 9: Unflagged,
400,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Hungary,Yes,Limestone,"Eclectic, Gothic, Neo-Gothic, Renaissance, Neo-Renaissance, Baroque, Art Nouveau; nan",Internal (DS/OUV),,"Roman era (Aquincum), Medieval (13th century / 1241–1242, King Bela IV), 14th century, 18th century, 19th century (1849, 1862, 1872–1885), 20th century (1893–1896, 1960–1980)",Internal (DS/OUV),,"Roman (Aquincum), Hungarian Monarchy, Austro-Hungarian Empire, Ottoman/Turkish Occupation period",Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Castle/Spur foundations, Bridges, Embankments, Underground Railway, Fortifications (Citadel), Retaining Structures",Internal (DS/OUV),,"Decorative facade elements, Street furniture, Monuments, Architectural embellishments",Internal (DS/OUV),,,,,"Deterioration of limestone structures, Humidity affecting wooden roof structures, Metal structure corrosion, Air pollution, Climate change impacts (extreme water levels of the Danube)",Internal (DS/OUV),,,,,Partial reconstruction and restoration of the Buda Castle Quarter (1960–1980); authentic renovation of three Danube bridges; ongoing maintenance,,,Excellent,,,,,,Tier 9: Unflagged,
404,"Acropolis, Athens",Greece,Yes,White Marble,"Classical Greek / Sanctuary & Monumental Complex (Parthenon, Erechtheion, Propylaea, Temple of Athena Nike); nan",Internal (DS/OUV),,5th Century BC (with earliest fortifications dating to 13th Century BC),Internal (DS/OUV),,Ancient Greek / Classical Athenian (Mycenaean origin),Internal (DS/OUV),,,Internal (DS/OUV),,Internal (DS/OUV),,Metamorphic Rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,White,Internal (DS/OUV),,,,,,,,Mt. Penteli (Pentelikon),Internal (DS/OUV),,Greece,Internal (DS/OUV),,Pentelic Marble / Penteli Marble,,,,,,"Temples, Propylaea, Fortification Walls, Foundations, Altars",Internal (DS/OUV),,Sculptural and Architectural elements,Internal (DS/OUV),,Ancient classical masonry/building techniques,Internal (DS/OUV),,Eroded architectural elements,Internal (DS/OUV),,White marble quarried from Mt. Penteli,Internal (DS/OUV),,Integrated intervention program ongoing since 1975 following the principles of the Venice Charter,Internal (DS/OUV),,Excellent,,,,,,Tier 9: Unflagged,
