unesco_id,site_name,category,region,country,latitude,longitude,brief_description,ouv_statement,criteria,confidence_v2,score_v2,stone_count_v2,stone_types_found_v2,stone_geological_class_v2,named_trade_stones_v2,decorative_minerals_v2,construction_terms_v2,architectural_elements_v2,matched_title_terms_v2,matched_categories_v2,unesco_url
1590,Sanctuary of Bom Jesus do Monte in Braga,Cultural,Europe and North America,Portugal,,,"Located on the slopes of Mount Espinho, overlooking the city of Braga in the north of Portugal, this cultural landscape evokes Christian Jerusalem, recreating a sacred mount crowned with a church. The sanctuary was developed over a period of more than 600 years, primarily in a Baroque style, and illustrates a European tradition of creating Sacri Monti (sacred mountains), promoted by the Catholic Church at the Council of Trent in the 16th century, in reaction to the Protestant Reformation. The Bom Jesus ensemble is centred on a Via Crucis that leads up the western slope of the mount. It includes a series of chapels that house sculptures evoking the Passion of Christ, as well as fountains, allegorical sculptures and formal gardens. The Via Crucis culminates at the church, which was built between 1784 and 1811. The granite buildings have whitewashed plaster façades, framed by exposed stonework. The celebrated Stairway of the Five Senses, with its walls, steps, fountains, statues and other ornamental elements, is the most emblematic Baroque work within the property. They are framed by lush woodland and embraced by a picturesque park that, masterfully set on the rugged hill, highly contributes to the landscape value of the ensemble.",,(iv),HIGH,12,1,granite,Igneous,,,,church; sanctuary; wall,,Criterion_iv; OUV_Stone; OUV_Materials; OUV_ArchElements,https://whc.unesco.org/en/list/1590
985,Maloti-Drakensberg Park,Mixed,Africa,"Lesotho,South Africa",,,"The Maloti-Drakensberg Park is a transnational property composed of the uKhahlamba Drakensberg National Park in South Africa and the Sehlathebe National Park in Lesotho. The site has exceptional natural beauty in its soaring basaltic buttresses, incisive dramatic cutbacks, and golden sandstone ramparts as well as visually spectacular sculptured arches, caves, cliffs, pillars and rock pools. The site's diversity of habitats protects a high level of endemic and globally important plants. The site harbors endangered species such as the Cape vulture (Gyps coprotheres) and the bearded vulture (Gypaetus barbatus). Lesotho’s Sehlabathebe National Park also harbors the Maloti minnow (Pseudobarbus quathlambae), a critically endangered fish species only found in this park. This spectacular natural site contains many caves and rock-shelters with the largest and most concentrated group of paintings in Africa south of the Sahara. They represent the spiritual life of the San people, who lived in this area over a period of 4,000 years.",,(i)(iii)(vii)(x),HIGH,12,3,basaltic; golden sandstone; sandstone,Igneous; Sedimentary,,,,arch; buttress; pillar,,Criterion_i; OUV_Stone; OUV_Stone_3+; OUV_ArchElements,https://whc.unesco.org/en/list/985
1570,"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",Cultural,Asia and the Pacific,India,,,"Rudreshwara, popularly known as Ramappa Temple, is located in the village of Palampet approximately 200km north-east of Hyderabad, in the State of Telangana. It is the main Shiva temple in a walled complex built during the Kakatiyan period (1123–1323 CE) under rulers Rudradeva and Recharla Rudra. Construction of the sandstone temple began in 1213 CE and is believed to have continued over some 40 years. The building features decorated beams and pillars of carved granite and dolerite with a distinctive and pyramidal Vimana (horizontally stepped tower) made of lightweight porous bricks, so-called ‘floating bricks’, which reduced the weight of the roof structures. The temple’s sculptures of high artistic quality illustrate regional dance customs and Kakatiyan culture. Located at the foothills of a forested area and amidst agricultural fields, close to the shores of the Ramappa Cheruvu, a Kakatiya-built water reservoir, the choice of setting for the edifice followed the ideology and practice sanctioned in dharmic texts that temples are to be constructed to form an integral part of a natural setting, including hills, forests, springs, streams, lakes, catchment areas, and agricultural lands.",,(i)(iii),HIGH,12,3,dolerite; granite; sandstone,Igneous; Sedimentary,,,,pillar; roof; temple; tower; vimana,,Criterion_i; OUV_Stone; OUV_Stone_3+; OUV_ArchElements,https://whc.unesco.org/en/list/1570
1720,The Historic Town and Archaeological Site of Gedi,Cultural,Africa,Kenya,,,"Surrounded by a remnant coastal forest, away from the coastline, the abandoned city of Gedi was one of the most important Swahili cities on the East African coast from the 10th to 17th centuries. During this period, it was part of a complex and international network of trade and cultural exchanges that crossed the Indian Ocean, linking African coastal centres with Persia and other areas. The opulent settlement is clearly delineated by walls and features remains of domestic, religious, and civic architecture, and a sophisticated water management system. It strongly represents the characteristics of Swahili architecture and town planning, utilising materials such as coral rag, coral and earth mortar and wood.",,(ii)(iii)(iv),HIGH,12,2,coral rag; rag,Sedimentary,,coral,,wall,,Criterion_iv; Criterion_ii; OUV_Stone; Decorative_Mineral; OUV_Materials,https://whc.unesco.org/en/list/1720
187,St Mary's Cathedral and St Michael's Church at Hildesheim,Cultural,Europe and North America,Germany,,,"St Michael's Church was built between 1010 and 1020 on a symmetrical plan with two apses that was characteristic of Ottonian Romanesque art in Old Saxony. Its interior, in particular the wooden ceiling and painted stucco-work, its famous bronze doors and the Bernward bronze column, are – together with the treasures of St Mary's Cathedral – of exceptional interest as examples of the Romanesque churches of the Holy Roman Empire.",,(i)(ii)(iii),HIGH,12,0,,,,,,apse; cathedral; ceiling; church; column,cathedral,Criterion_i; Criterion_ii; Title_Stone_Keyword; OUV_Materials; OUV_ArchElements,https://whc.unesco.org/en/list/187
535,"Collegiate Church, Castle and Old Town of Quedlinburg",Cultural,Europe and North America,Germany,,,"Quedlinburg, in the Land of Sachsen-Anhalt, was a capital of the East Franconian German Empire at the time of the Saxonian-Ottonian ruling dynasty. It has been a prosperous trading town since the Middle Ages. The number and high quality of the timber-framed buildings make Quedlinburg an exceptional example of a medieval European town. The Collegiate Church of St Servatius is one of the masterpieces of Romanesque architecture.",,(iv),HIGH,12,0,,,,,capital,capital; castle; church,castle,Criterion_iv; Title_Stone_Keyword; OUV_Materials; OUV_ArchElements,https://whc.unesco.org/en/list/535
367,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",Cultural,Europe and North America,Germany,,,"Trier, which stands on the Moselle River, was a Roman colony from the 1st century AD and then a great trading centre beginning in the next century. It became one of the capitals of the Tetrarchy at the end of the 3rd century, when it was known as the ‘second Rome’. The number and quality of the surviving monuments are an outstanding testimony to Roman civilization.",,(i)(iii)(iv)(vi),HIGH,12,0,,,,,capital,capital; cathedral; church,cathedral,Criterion_iv; Criterion_i; Title_Stone_Keyword; OUV_ArchElements,https://whc.unesco.org/en/list/367
311,Old Town of Segovia and its Aqueduct,Cultural,Europe and North America,Spain,,,"The Roman aqueduct of Segovia, probably built c. A.D. 50, is remarkably well preserved. This impressive construction, with its two tiers of arches, forms part of the setting of the magnificent historic city of Segovia. Other important monuments include the Alcázar, begun around the 11th century, and the 16th-century Gothic cathedral.",,(i)(iii)(iv),HIGH,12,0,,,,,,aqueduct; arch; cathedral,aqueduct,Criterion_iv; Criterion_i; Title_Stone_Keyword; OUV_ArchElements,https://whc.unesco.org/en/list/311
1670,Sacred Ensembles of the Hoysalas,Cultural,Asia and the Pacific,India,,,"This serial property encompasses the three most representative examples of Hoysala-style temple complexes in southern India, dating from the 12th to 13th centuries. The Hoysala style was created through careful selection of contemporary temple features and those from the past to create a different identity from neighbouring kingdoms. The shrines are characterized by hyper-real sculptures and stone carvings that cover the entire architectural surface, a circumambulatory platform, a large-scale sculptural gallery, a multi-tiered frieze, and sculptures of the Sala legend. The excellence of the sculptural art underpins the artistic achievement of these temple complexes, which represent a significant stage in the historical development of Hindu temple architecture.",,(i)(ii)(iv),HIGH,12,0,,,,,frieze; stone carving,frieze; gallery; shrine; temple,,Criterion_iv; Criterion_i; Criterion_ii; OUV_Construction; OUV_ArchElements,https://whc.unesco.org/en/list/1670
1725,Megaliths of Carnac and of the shores of Morbihan,Cultural,Europe and North America,France,,,"This serial property in Brittany, France, features a dense concentration of megalithic structures built during the Neolithic period (c. 5000–2300 BCE), carefully aligned with the area’s unique geomorphology. These monumental stone constructions—arranged in relation to one another and to natural features like terrain and waterways—reflect a sophisticated understanding of the environment. Rich engravings and associated artifacts further illustrate the cultural complexity of the societies that inhabited this part of the European Atlantic coast.",,(i)(iv),HIGH,12,0,,,,,megalith; megalithic,,megalith,Criterion_iv; Criterion_i; Title_Stone_Keyword; OUV_Construction,https://whc.unesco.org/en/list/1725
1055,Lamu Old Town,Cultural,Africa,Kenya,,,"Lamu Old Town is the oldest and best-preserved Swahili settlement in East Africa, retaining its traditional functions. Built in coral stone and mangrove timber, the town is characterized by the simplicity of structural forms enriched by such features as inner courtyards, verandas, and elaborately carved wooden doors. Lamu has hosted major Muslim religious festivals since the 19th century, and has become a significant centre for the study of Islamic and Swahili cultures.","Criterion ii The architecture and urban structure Lamu graphically demonstrate the cultural influences that have come together there over several hundred years from Europe, Arabia, and India, utilizing traditional Swahili techniques to produce a distinct culture. Criterion iv The growth and decline of the seaports the East African coast and interaction between the Bantu, Arabs, Persians, Indians, and Europeans represents significant cultural and economic phase in the history the region which finds its most outstanding expression Lamu Old Town. Criterion vi Its paramount trading role and its attraction for scholars and teachers gave Lamu an important religious function in the region. It continues to be significant centre for education in Islamic and Swahili culture.",(ii)(iv)(vi),HIGH,12,1,coral stone,Sedimentary,,coral,,courtyard,,Criterion_iv; Criterion_ii; OUV_Stone; Decorative_Mineral; OUV_Materials,https://whc.unesco.org/en/list/1055
1303,Pontcysyllte Aqueduct and Canal,Cultural,Europe and North America,United Kingdom of Great Britain and Northern Ireland,,,"Situated in north-eastern Wales, the 18 kilometre long Pontcysyllte Aqueduct and Canal is a feat of civil engineering of the Industrial Revolution, completed in the early years of the 19th century. Covering a difficult geographical setting, the building of the canal required substantial, bold civil engineering solutions, especially as it was built without using locks. The aqueduct is a pioneering masterpiece of engineering and monumental metal architecture, conceived by the celebrated civil engineer Thomas Telford. The use of both cast and wrought iron in the aqueduct enabled the construction of arches that were light and d strong, producing an overall effect that is both monumental and elegant. The property is inscribed as a masterpiece of creative genius, and as a remarkable synthesis of expertise already acquired in Europe. It is also recognized as an innovative ensemble that inspired many projects all over the world.",,(i)(ii)(iv),HIGH,12,0,,,,,,aqueduct; arch,aqueduct,Criterion_iv; Criterion_i; Criterion_ii; Title_Stone_Keyword; OUV_Materials,https://whc.unesco.org/en/list/1303
1343,"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",Cultural,Arab States,United Arab Emirates,,,"The Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas) constitute a serial property that testifies to sedentary human occupation of a desert region since the Neolithic period with vestiges of many prehistoric cultures. Remarkable vestiges in the property include circular stone tombs (ca 2500 B.C.), wells and a wide range of adobe constructions: residential buildings, towers, palaces and administrative buildings. Hili moreover features one of the oldest examples of the sophisticated aflaj irrigation system which dates back to the Iron Age. The property provides important testimony to the transition of cultures in the region from hunting and gathering to sedentarization.",,(iii)(iv)(v),HIGH,12,1,adobe,Sedimentary,,,,palace; tomb; tower,,Criterion_iv; OUV_Stone; OUV_Materials; OUV_ArchElements,https://whc.unesco.org/en/list/1343
1236,León Cathedral,Cultural,Latin America and the Caribbean,Nicaragua,,,"Built between 1747 and the early 19th century to the design of Guatemalan architect Diego José de Porres Esquivel, the monument expresses the transition from Baroque to Neoclassical architecture and its style can be considered to be eclectic. The Cathedral is characterized by the sobriety of its interior decoration and the abundance of natural light. The vault of the Sanctuary, however, presents rich ornamentation. The Cathedral houses important works of art including a wooden Flemish altarpiece, and paintings of the 14 stations of the Way of the Cross by Nicaraguan artist Antonio Sarria (late 19th and early 20th centuries).",,(ii)(iv),HIGH,11,0,,,,,,cathedral; sanctuary; vault,cathedral,Criterion_iv; Criterion_ii; Title_Stone_Keyword; OUV_ArchElements,https://whc.unesco.org/en/list/1236
1370,Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Cultural,Europe and North America,Israel,,,"The archaeological site contains some 3,500 underground chambers distributed among distinct complexes carved in the thick and homogenous soft chalk of Lower Judea under the former towns of Maresha and Bet Guvrin. Situated on the crossroads of trade routes to Mesopotamia and Egypt, the site bears witness to the region’s tapestry of cultures and their evolution over more than 2,000 years from the 8th century BCE—when Maresha, the older of the two towns was built—to the time of the Crusaders. These quarried caves served as cisterns, oil presses, baths, columbaria (dovecotes), stables, places of religious worship, hideaways and, on the outskirts of the towns, burial areas. Some of the larger chambers feature vaulted arches and supporting pillars.",,(v),HIGH,11,1,chalk,Sedimentary,,,quarried,arch; bath; pillar,cave,Title_Stone_Keyword; OUV_Stone; OUV_ArchElements,https://whc.unesco.org/en/list/1370
1519,Aphrodisias,Cultural,Europe and North America,Türkiye,,,"Located in southwestern Turkey, in the upper valley of the Morsynus River, the site consists of two components: the archaeological site of Aphrodisias and the marble quarries northeast of the city. The temple of Aphrodite dates from the 3rd century BC and the city was built one century later. The wealth of Aphrodisias came from the marble quarries and the art produced by its sculptors. The city streets are arranged around several large civic structures, which include temples, a theatre, an agora and two bath complexes.",,(ii)(iii)(iv)(vi),HIGH,11,1,marble,Metamorphic,,,quarry,bath; temple; theatre,,Criterion_iv; Criterion_ii; OUV_Stone; OUV_ArchElements,https://whc.unesco.org/en/list/1519
1612,The work of engineer Eladio Dieste: Church of Atlántida,Cultural,Latin America and the Caribbean,Uruguay,,,"The Church of Atlántida with its belfry and underground baptistery is located in Estación Atlántida, 45 km away from Montevideo. Inspired by Italian paleo-Christian and medieval religious architecture, the modernistic Church complex, inaugurated in 1960, represents a novel utilization of exposed and reinforced brick. Built on rectangular plan of one single hall, the church features distinctive undulating walls supporting a similarly undulating roof, composed of a sequence of reinforced brick Gaussian vaults developed by Eladio Dieste (1917-2000). The cylindrical bell-tower, built in openwork exposed brick masonry, rises from the ground to the right of the main church facade, while the underground baptistery is located on the left side of the parvis, accessible from a triangular prismatic entrance and illuminated via a central oculus. The Church provides an eminent example of the remarkable formal and spatial achievements of modern architecture in Latin America during the second part of the 20th century, embodying the search for social equality with a spare use of resources, meeting structural imperatives to great aesthetic effect.",,(iv),HIGH,11,0,,,,,masonry; oculus,church; facade; oculus; roof; tower; vault; wall,,Criterion_iv; OUV_Construction; OUV_ArchElements; OUV_ArchElements_6+,https://whc.unesco.org/en/list/1612
1565,Hebron/Al-Khalil Old Town,Cultural,Arab States,State of Palestine,,,"The use of a local limestone shaped the construction of the old town of Hebron/Al-Khalil during the Mamluk period between 1250 and 1517. The centre of interest of the town was the site of Al-Ibrahimi Mosque/The tomb of the Patriarchs whose buildings are in a compound built in the 1st century AD to protect the tombs of the patriarch Abraham/Ibrahim and his family. This place became a site of pilgrimage for the three monotheistic religions: Judaism, Christianity and Islam. The town was sited at the crossroads of trade routes for caravans travelling between southern Palestine, Sinai, Eastern Jordan and the north of the Arabian Peninsula. Although the subsequent Ottoman Period (1517-1917) heralded an extension of the town to the surrounding areas and brought numerous architectural additions, particularly the raising of the roof level of houses to provide more upper stories, the overall Mamluk morphology of the town is seen to have persisted with its hierarchy of areas, quarters based on ethnic, religious or professional groupings, and houses with groups of rooms organized according to a tree-shaped system.",,(ii)(iv)(vi),HIGH,11,1,limestone,Sedimentary,,,,base; mosque; roof; tomb,,Criterion_iv; Criterion_ii; OUV_Stone; OUV_ArchElements,https://whc.unesco.org/en/list/1565
1165,Centennial Hall in Wrocław,Cultural,Europe and North America,Poland,,,"The Centennial Hall, a landmark in the history of reinforced concrete architecture, was erected in 1911-1913 by the architect Max Berg as a multi-purpose recreational building, situated in the Exhibition Grounds. In form it is a symmetrical quatrefoil with a vast circular central space that can seat some 6,000 persons. The 23m-high dome is topped with a lantern in steel and glass. The Centennial Hall is a pioneering work of modern engineering and architecture, which exhibits an important interchange of influences in the early 20th century, becoming a key reference in the later development of reinforced concrete structures.","Criterion (i): The Centennial Hall of Wrocł aw is a creative and innovative example in the development of construction technology in large reinforced concrete structures. The Centennial Hall occupies a key position in the evolution of methods of reinforcement in architecture, and one of the climax points in the history of the use of metal in structural consolidation.
Criterion (ii): The Centennial Hall is a pioneering work of modern engineering and architecture, which exhibits an important interchange of influences in the early 20th century, becoming a key reference in the later development of reinforced concrete structures.
Criterion (iv): As part of the exhibition grounds of Wrocł aw, the Centennial Hall is an outstanding example of modern recreational architecture that served a variety of purposes, ranging from conferences and exhibitions to concerts, theatre and opera.",(i)(ii)(iv),HIGH,11,0,,,,,,dome; lantern; theatre,,Criterion_iv; Criterion_i; Criterion_ii; OUV_Materials; OUV_ArchElements,https://whc.unesco.org/en/list/1165
1597,Writing-on-Stone / Áísínai’pi,Cultural,Europe and North America,Canada,,,"The property is located on the northern edge of the semi-arid Great Plains of North America, on the border between Canada and the United States of America. The Milk River Valley dominates the topography of this cultural landscape, which is characterized by a concentration of pillars or hoodoos – columns of rock sculpted by erosion into spectacular shapes. The Blackfoot Confederacy (Siksikáíítsitapi) left engravings and paintings on the sandstone walls of the Milk River Valley, bearing testimony to messages from Sacred Beings. Dated in situ archaeological remains cover a period between ca. 4,500 BP - 3,500 years BP and the Contact Period. This landscape is considered sacred to the Blackfoot people, and their centuries-old traditions are perpetuated through ceremonies and in enduring respect for the places.",,(iii),HIGH,11,1,sandstone,Sedimentary,,,,column; pillar; wall,stone,Title_Stone_Keyword; OUV_Stone; OUV_ArchElements,https://whc.unesco.org/en/list/1597
1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cultural,Asia and the Pacific,Cambodia,,,"The archaeological site of Sambor Prei Kuk, “the temple in the richness of the forest” in the Khmer language, has been identified as Ishanapura, the capital of the Chenla Empire that flourished in the late 6th and early 7th centuries AD. The property comprises more than a hundred temples, ten of which are octagonal, unique specimens of their genre in South-East Asia. Decorated sandstone elements in the site are characteristic of the pre-Angkor decorative idiom, known as the Sambor Prei Kuk Style. Some of these elements, including lintels, pediments and colonnades, are true masterpieces. The art and architecture developed here became models for other parts of the region and lay the ground for the unique Khmer style of the Angkor period.",,(ii)(iii)(vi),HIGH,11,1,sandstone,Sedimentary,,,capital; lintel; pediment,capital; lintel; pediment; temple,,Criterion_ii; OUV_Stone; OUV_Construction; OUV_ArchElements,https://whc.unesco.org/en/list/1532
