unesco_id,site_name,category,brief_description,ouv_statement,criteria,country,region,year_inscribed,latitude,longitude,is_endangered,is_transnational,iso_code,unesco_url
1681,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",Cultural,"This property is located within the complex of the Former Navy School of Mechanics in Buenos Aires, in the former Officers’ Quarters. This was the Argentine Navy’s principal secret detention centre during the civil-military dictatorship of 1976-1983. As part of a national strategy to destroy armed and nonviolent opposition to the military regime, the Officers' Quarters building at ESMA (Escuela Superior de Mecánica de la Armada) was used for holding captive opponents who had been abducted in Buenos Aires and interrogating, torturing and eventually killing them.",,(vi),Argentina,Latin America and the Caribbean,2023,-34.5366416667,-58.4653333333,0,0,ar,https://whc.unesco.org/en/list/1681
777,Monasteries of Haghpat and Sanahin,Cultural,"<p>These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian region.</p>",<p>The Committee decided to inscribe the Monastery of Haghpat on the basis of cultural <em>criteria (ii) and (iv)</em> considering that it is of outstanding universal value and an exceptional example of ecclesiastical architecture that developed in Armenia in the 10th to 13th centuries which is unique by virtue of its blending of elements of both Byzantine church architecture and the traditional vernacular building style of this region.</p>,(ii)(iv),Armenia,Europe and North America,1996,41.095,44.71028,0,0,am,https://whc.unesco.org/en/list/777
960,Monastery of Geghard and the Upper Azat Valley,Cultural,"<p>The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley.</p>","<p><em>Criterion (ii):</em> The monastery of Geghard, with its remarkable rock-cut churches and tombs, is an exceptionally well preserved and complete example of medieval Armenian monastic architecture and decorative art, with many innovatory features which had a profound influence on subsequent developments in the region.</p>",(ii),Armenia,Europe and North America,2000,40.140439,44.818525,0,0,am,https://whc.unesco.org/en/list/960
1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cultural,"<p>The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and artistic development in the region.</p>","<p><em>Criterion (ii):</em> The developments in ecclesiastical architecture represented in an outstanding manner by the churches at Echmiatsin and the archaeological site of Zvartnots had a profound influence on church design over a wide region.</p>
<p><em>Criterion (iii):</em> The churches at Echmiatsin and the archaeological site of Zvartnots vividly depict both the spirituality and the innovatory artistic achievement of the Armenian Church from its foundation.</p>",(ii)(iii),Armenia,Europe and North America,2000,40.15931,44.29514,0,0,am,https://whc.unesco.org/en/list/1011
147,Kakadu National Park,Mixed,"<p>This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region&rsquo;s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a wide range of rare or endemic species of plants and animals.</p>",,(i)(vi)(vii)(ix)(x),Australia,Asia and the Pacific,1981,-12.83333333,132.8333333,0,0,au,https://whc.unesco.org/en/list/147
154,Great Barrier Reef,Natural,"<p>The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (‘sea cow’) and the large green turtle, which are threatened with extinction.</p>",,(vii)(viii)(ix)(x),Australia,Asia and the Pacific,1981,-18.28611111,147.7,0,0,au,https://whc.unesco.org/en/list/154
166,Sydney Opera House,Cultural,"<p>Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted &lsquo;shells&rsquo; which roof two main performance halls and a restaurant. These shell-structures are set upon a vast platform and are surrounded by terrace areas that function as pedestrian concourses. In 1957, when the project of the Sydney Opera House was awarded by an international jury to Danish architect J&oslash;rn Utzon, it marked a radically new approach to construction.</p>",,(i),Australia,Asia and the Pacific,2007,-33.8566666667,151.2152777777,0,0,au,https://whc.unesco.org/en/list/166
167,Willandra Lakes Region,Mixed,"<p>The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45–60,000 years ago. It is a unique landmark in the study of human evolution on the Australian continent. Several well-preserved fossils of giant marsupials have also been found here.</p>",,(iii)(viii),Australia,Asia and the Pacific,1981,-34.0,143.0,0,0,au,https://whc.unesco.org/en/list/167
181,Tasmanian Wilderness,Mixed,"<p>In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone caves attest to the human occupation of the area for more than 20,000 years.</p>",,(iii)(iv)(vi)(vii)(viii)(ix)(x),Australia,Asia and the Pacific,1982,-43.1184722222,146.2305555556,0,0,au,https://whc.unesco.org/en/list/181
186,Lord Howe Island Group,Natural,"<p>A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds.</p>",,(vii)(x),Australia,Asia and the Pacific,1982,-31.56555556,159.0883333,0,0,au,https://whc.unesco.org/en/list/186
368,Gondwana Rainforests of Australia,Natural,"<p>This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia&rsquo;s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation.</p>",,(viii)(ix)(x),Australia,Asia and the Pacific,1986,-28.25,150.05,0,0,au,https://whc.unesco.org/en/list/368
447,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Mixed,"<p>This park, formerly called Uluru (Ayers Rock – Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The traditional owners of Uluru-Kata Tjuta are the Anangu Aboriginal people.</p>",,(v)(vi)(vii)(viii),Australia,Asia and the Pacific,1987,-25.33333333,131.0,0,0,au,https://whc.unesco.org/en/list/447
486,Wet Tropics of Queensland,Natural,"<p>This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along with other rare and endangered animals and plant species.</p>",,(vii)(viii)(ix)(x),Australia,Asia and the Pacific,1988,-15.65,144.9666667,0,0,au,https://whc.unesco.org/en/list/486
577,Heard and McDonald Islands,Natural,"<p>Heard Island and McDonald Islands are located in the Southern Ocean, approximately 1,700 km from the Antarctic continent and 4,100 km south-west of Perth. As the only volcanically active subantarctic islands they ‘open a window into the earth’, thus providing the opportunity to observe ongoing geomorphic processes and glacial dynamics. The distinctive conservation value of Heard and McDonald – one of the world’s rare pristine island ecosystems – lies in the complete absence of alien plants and animals, as well as human impact.</p>","<p>The Committee inscribed this property under <em>criteria (viii) </em>and <em>(ix)</em>. It noted that this site is the only volcanically active sub-Antarctic island and illustrates ongoing geomorphic processes and glacial dynamics in the coastal and submarine environment and sub-Antarctic flora and fauna, with no record of alien species. The Committee repeated its request by the sixteenth session for further documentation on the marine resources of the site.</p>",(viii)(ix),Australia,Asia and the Pacific,1997,-53.1,73.5,0,0,au,https://whc.unesco.org/en/list/577
578,"Shark Bay, Western Australia",Natural,"<p>At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (&lsquo;sea cow&rsquo;) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals.</p>",,(vii)(viii)(ix)(x),Australia,Asia and the Pacific,1991,-25.48611111,113.4361111,0,0,au,https://whc.unesco.org/en/list/578
629,Macquarie Island,Natural,"<p>Macquarie Island (34 km long x 5 km wide) is an oceanic island in the Southern Ocean, lying 1,500 km south-east of Tasmania and approximately halfway between Australia and the Antarctic continent. The island is the exposed crest of the undersea Macquarie Ridge, raised to its present position where the Indo-Australian tectonic plate meets the Pacific plate. It is a site of major geoconservation significance, being the only place on earth where rocks from the earth’s mantle (6 km below the ocean floor) are being actively exposed above sea-level. These unique exposures include excellent examples of pillow basalts and other extrusive rocks.</p>","<p>The Committee decided that the site provides an unique example of exposure of the ocean crust above the sea level and of geological evidence for sea-floor spreading, and is an exposure of the oceanic plate boundary between the Pacific and Australian/Indian plates, exposed with active faults and ongoing tectonic movements.</p>",(vii)(viii),Australia,Asia and the Pacific,1997,-54.59472222,158.8955556,0,0,au,https://whc.unesco.org/en/list/629
630,K’gari (Fraser Island),Natural,"<p>K’gari (Fraser Island) lies just off the east coast of Australia. At 122 km long, it is the largest sand island in the world. Majestic remnants of tall rainforest growing on sand and half the world’s perched freshwater dune lakes are found inland from the beach. The combination of shifting sand-dunes, tropical rainforests and lakes makes it an exceptional site.</p>",,(vii)(viii)(ix),Australia,Asia and the Pacific,1992,-25.21666667,153.1333333,0,0,au,https://whc.unesco.org/en/list/630
698,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Natural,"<p>Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world’s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia’s unique fauna.</p>",,(viii)(ix),Australia,Asia and the Pacific,1994,-19.08333333,138.7166667,0,0,au,https://whc.unesco.org/en/list/698
917,Greater Blue Mountains Area,Natural,"<p>The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptation and diversification of the eucalypts in post-Gondwana isolation on the Australian continent. Ninety-one eucalypt taxa occur within the Greater Blue Mountains Area which is also outstanding for its exceptional expression of the structural and ecological diversity of the eucalypts associated with its wide range of habitats. The site provides significant representation of Australia's biodiversity with ten percent of the vascular flora as well as significant numbers of rare or threatened species, including endemic and evolutionary relict species, such as the Wollemi pine, which have persisted in highly-restricted microsites.</p>","<p><em>Criteria (ix) and (x):</em> Australia’s eucalypt vegetation is worthy of recognition as of outstanding universal value, because of its adaptability and evolution in post-Gondwana isolation. The site contains a wide and balanced representation of eucalypt habitats from wet and dry sclerophyll, mallee heathlands, as well as localised swamps, wetlands, and grassland. 90 eucalypt taxa (13% of the global total) and representation of all four groups of eucalypts occur. There is also a high level of endemism with 114 endemic taxa found in the area as well as 120 nationally rare and threatened plant taxa. The site hosts several evolutionary relic species (Wollemia, Microstrobos, Acrophyllum) which have persisted in highly restricted microsites.</p>",(ix)(x),Australia,Asia and the Pacific,2000,-33.7,150.0,0,0,au,https://whc.unesco.org/en/list/917
1094,Purnululu National Park,Natural,"<p>The 239,723 ha Purnululu National Park is located in the State of Western Australia. It contains the deeply dissected Bungle Bungle Range composed of Devonian-age quartz sandstone eroded over a period of 20 million years into a series of beehive-shaped towers or cones, whose steeply sloping surfaces are distinctly marked by regular horizontal bands of dark-grey cyanobacterial crust (single-celled photosynthetic organisms). These outstanding examples of cone karst owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena.</p>","<p><em>Criterion (viii):</em> Earth’s history and geological features The claim to outstanding universal geological value is made for the Bungle Bungle Range. The Bungle Bungles are, by far, the most outstanding example of cone karst in sandstones anywhere in the world and owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena. The sandstone karst of PNP is of great scientific importance in demonstrating so clearly the process of cone karst formation on sandstone - a phenomenon recognised by geomorphologists only over the past 25 years and still incompletely understood, despite recently renewed interest and research. The Bungle Bungle Ranges of PNP also display to an exceptional degree evidence of geomorphic processes of dissolution, weathering and erosion in the evolution of landforms under a savannah climatic regime within an ancient, stable sedimentary landscape. IUCN considers that the nominated site meets this criterion.</p>
<p><em>Criterion (vii):</em> Superlative natural phenomena or natural beauty and aesthetic importance Although PNP has been widely known in Australia only during the past 20 years and it remains relatively inaccessible, it has become recognised internationally for its exceptional natural beauty. The prime scenic attraction is the extraordinary array of banded, beehive-shaped cone towers comprising the Bungle Bungle Range. These have become emblematic of the park and are internationally renowned among Australia’s natural attractions. The dramatically sculptured structures, unrivalled in their scale, extent, grandeur and diversity of forms anywhere in the world, undergo remarkable seasonal variation in appearance, including striking colour transition following rain. The intricate maze of towers is accentuated by sinuous, narrow, sheer-sided gorges lined with majestic Livistona fan palms. These and the soaring cliffs up to 250 m high are cut by seasonal waterfalls and pools, creating the major tourist attractions in the park, with evocative names such as Echidna Chasm, and Frog Hole, Piccaninny and Cathedral Gorges. The diversity of landforms and ecosystems elsewhere in the park are representative of the larger region, and lack a unique aesthetic quality, but provide a sympathetic visual buffer for the massif. The powerful aesthetic experience of the Bungle Bungles has aroused huge interest among the public, and the ranges figure prominently in national and international advertising of Australia’s tourist attractions, matching the prominence of the Uluru-Kata Tjuta National Park. Photographers and travel writers include the Bungle Bungles among the world’s natural wonders, some describing them as Australia’s equivalent of the Grand Canyon.</p>",(vii)(viii),Australia,Asia and the Pacific,2003,-17.5,128.5,0,0,au,https://whc.unesco.org/en/list/1094
