Site ID,Site Name,Country,Latitude,Longitude,UNESCO Criteria,Architecture Type,UNESCO Mention,Mentioned Major Stone(s),Local Stone Name,Secondary Stone,Rock Class,Lithology,Local vs Imported,Quarry,Masonry Technique,Structural Use,Condition,Weathering,Stone_Mention_OUV_Excerpt,Stone_Potential_Flag,Potential_Tier_Description
241.0,Group of Monuments at Hampi,India,,,,"Dravidian Architecture (Temples, Gopurams, Mandapas) and Indo-Islamic Architecture (Secular buildings like Queen's Bath and Elephant Stables).; nan",,Granite,,,Igneous Rock,Local Granite / Closepet Granite,"Local (""constructed from local granite"", ""utilizing locally available material"")",,"Post-and-lintel system, lantern-roofed construction, dry-stone masonry with paper joints (rubble core for fortification walls), brick-and-lime mortar superstructures (for Gopuras), and heavy granite roof slabs sealed with lime mortar waterproofing.","Fortification walls, temple complexes, pillared halls (Mandapas), shrines, entrance towers (Gopurams), ceremonial pavilions, heavy roof slabs, stone chariot (granite ratha), stepped tanks (Pushkarani), bridges, and water channels.",Good,,Major Stone: Granite | Lithology: Local Granite / Closepet Granite | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
395.0,"Piazza del Duomo, Pisa",Italy,,,,"Religious Ensemble / Pisan Romanesque Architecture (Cathedral, Baptistery, Campanile/Leaning Tower, Campo Santo); nan",Yes,Marble (General Mention); Carrara Marble,,,Metamorphic Rock,,Mixed (Local from Monti Pisani ~10 km; Regional from Carrara ~60 km & Giglio ~150 km),"Carrara Quarries (Apuan Alps), San Giuliano Terme (Monti Pisani), Giglio Island Quarries",,"Foundation ashlar, structural load-bearing walls, exterior arcades, columns",Good,,Major Stone: Marble (General Mention); Carrara Marble | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
827.0,"Cathedral, Torre Civica and Piazza Grande, Modena",Italy,,,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;","Cathedral, Bell Tower (""Ghirlandina""), Civic Square; nan",No,Ancient Roman stones ,,,,,Local reuse (spolia from ancient Roman sites in Modena),Reused ancient Roman architectural remains (Mutina ruins),Ashlar stone cladding over brick/masonry core; Roman stone reuse,,Excellent,"Stone deterioration, environmental pollution, micro-cracks from seismic shaking",Major Stone: Ancient Roman stones  | Source Ref: UNESCO Dossier & ICOMOS Document Links,,Tier 9: Unflagged
364.0,Great Zimbabwe National Monument,Zimbabwe,,,,"Dry-stone monumental masonry architecture (Hill Ruins, Great Enclosure, Valley Ruins, Conical Tower, Enclosure Walls); nan",Yes,Granite,"Daga (traditional mixture of clay and granitic sand used for bricks, huts, and floors)",Soapstone / Steatite (used for upright posts and carved Zimbabwe Birds); Granitic sand and clay mixture (Daga),Igneous Rock,Biotite Granite / Talc-schist (Steatite),Local (Granite obtained directly at the site; Steatite sourced regionally within Zimbabwe),Local granite hill outcrops and naturally exfoliated granite spalls surrounding the Great Zimbabwe site,"Dry stone masonry without mortar, laid in regular horizontal courses using split/dressed granite blocks","Enclosure perimeter walls, Conical Tower, passageways, foundations, and lintels",Good,"Temperature fluctuations, soil moisture variations, and invasive vegetation encroachment (Lantana camara)","Major Stone: Granite | Local Name: Daga (traditional mixture of clay and granitic sand used for bricks, huts, and floors) | Secondary Stone: Soapstone / Steatite (used for upright posts and carved Zimbabwe Birds); Granitic sand and clay mixture (Daga) | Lithology: Biotite Granite / Talc-schist (Steatite) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
451.0,Old Town of Galle and its Fortifications,Sri Lanka,,,,Fortified city / Urban ensemble; nan,Yes,"Coral, Granite, and Cherts / Coral rag / Laterite","Coral rag, Kabook (Local Sri Lankan name for Laterite)","Brick, Lime mortar, Sandstone",Igneous Rock,,Local,Local coastal reefs (Coral); Local promontory outcrops and inland quarries (Granite/Laterite),Ashlar and rubble core masonry using coral and granite bound with lime mortar,"Ramparts, Bastions, Underground drainage system, Foundation, Wall masonry",Good,"Marine bio-erosion, Salt crystallization, Moisture/humidity weathering","Major Stone: Coral, Granite, and Cherts / Coral rag / Laterite | Local Name: Coral rag, Kabook (Local Sri Lankan name for Laterite) | Secondary Stone: Brick, Lime mortar, Sandstone | Source Ref: ICOMOS Evaluation Report (1988); 
Antiquities Ordinance of Sri Lanka (1948, rev. 1998)",,Tier 9: Unflagged
232.0,"Humayun's Tomb, Delhi",India,,,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Garden-Tomb / Dynastic Mausoleum (Mughal / Indo-Islamic Architecture); nan,Yes,"Red Sandstone, White Marble",Delhi Quartzite (used in core/structural masonry underpinning red sandstone cladding),Black Marble (used for inlay/borders),Sedimentary Rock,,,,"Dressed stone masonry with ashlar cladding, tie-bars, and lime mortar joining; marble inlay (Pietra Dura precursor)","High terraced platform with vaulted cells, core masonry walls, double dome superstructure",Good,,"Major Stone: Red Sandstone, White Marble | Local Name: Delhi Quartzite (used in core/structural masonry underpinning red sandstone cladding) | Secondary Stone: Black Marble (used for inlay/borders) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
758.0,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Hungary,,,,"Monastic complex (Abbey, Basilica/Church, Cloister, Crypt, Refectory, Chapel, Millennium Monument, Library); nan",Yes,"Red Marble, Limestone, Brick",,,Metamorphic Rock,,Regional / Domestic (Carpathian Basin),Gerecse Mountains quarries (Tardos area),"Ashlar masonry, carved decorative stonework","Walls, foundations, piers, arches, vaults, Millennium Monument core structure",Good,Severe deterioration (noted specifically on the 26m dome/drum of the Millennium Monument),"Major Stone: Red Marble, Limestone, Brick | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
389.0,Studenica Monastery,Serbia,,,,Monastic complex; Raška School of eastern medieval church architecture blending Romanesque (exterior) and Byzantine (interior/frescoes) styles. Single-nave domed churches.; nan,Yes,White Marble,Studenica Marble (Studenički mermer),,Metamorphic Rock,,Local,Quarries located in the immediate protected surrounding zone near the monastery (along the Studenica/Radočelo mountain area),Ashlar masonry (polished white marble blocks precisely cut and fitted in Romanesque style),"Load-bearing exterior walls, portals, window openings (biforas/triforas), and structural masonry of the Church of the Virgin",Good,"Environmental pressure, surface weathering, and water accumulation/moisture near the monastery walls",Major Stone: White Marble | Local Name: Studenica Marble (Studenički mermer) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
1648.0,Sudanese style mosques in northern Côte d’Ivoire,Côte d'Ivoire,,,,Sudanese-style mosque architecture; nan,Yes,"Adobe (earthen blocks / cob), Wood (toron frameworks)",,,,"Clay, silt, organic temper, and localized lateritic earth",Local,,"Cob (bousillage) and adobe (earthen brick) masonry layered with earthen plaster, reinforced with timber scaffolding (torons)","Load-bearing walls, vertical buttresses, massive pilasters, truncated pyramid minarets, qibla towers, roof support",Poor,"Erosion and degradation caused by humid climatic conditions, intense rain, urbanization, and population growth","Major Stone: Adobe (earthen blocks / cob), Wood (toron frameworks) | Lithology: Clay, silt, organic temper, and localized lateritic earth | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1025.0,"Villa d'Este, Tivoli",Italy,,,,"Palace and water garden (Grottoes, fountains, ornamental basins); nan",No,,,Volcanic Tuff / Stucco (Jet noted in automated classification),,,,,,"Main body of the palace, stair ramps, retaining walls, terrace foundations",Excellent,Rapid deterioration of decorations/fountains due to micro-climatic conditions and continuous water contact,"Secondary Stone: Volcanic Tuff / Stucco (Jet noted in automated classification) | Source Ref: - UNESCO Dossier & OUV Statement


- ISPRA Travertines of Central Italy


- Centroni, A. (2008). Villa d'Este a Tivoli: quattro secoli di storia e restauri",,Tier 9: Unflagged
171.0,Fort and Shalamar Gardens in Lahore,Pakistan,,,,Fortified Palace & Water Garden Enclosure Complex; nan,Yes,"Red Sandstone, White Marble",,"Semi-precious stones (pietra dura / inlay), Glass mosaics, Gilt",Sedimentary Rock,,,,"Ashlar stone cladding over baked brick, carved stone lattice (jaali) screens, corbelled brackets, and stone inlay/pietra dura","Baked brick masonry core with red sandstone courses, enclosing walls, gateways, bastions, and supporting pillars/pavilions",Moderate,"Deterioration of hydraulic systems, moisture-induced micro-cracking, thermo-hygric expansion/bowing in marble, atmospheric pollution decay","Major Stone: Red Sandstone, White Marble | Secondary Stone: Semi-precious stones (pietra dura / inlay), Glass mosaics, Gilt | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
1103.0,Mausoleum of Khoja Ahmed Yasawi,Kazakhstan,,,,Multifunctional structure of the khanaqa type (combines a mausoleum and a mosque); nan,No,,,Alabaster (muqarnas stalactites); Gypsum plaster,,Gypsum / Alabaster (Hydrous calcium sulfate),Local clay for fired bricks; Persian master craft influence for decorative techniques,,Fired brick masonry with plaster carving and glazed tile revetments,"Vaults, domes (conic-spherical dome), walls, arches, drums",Moderate,"Deterioration from rising damp, salt efflorescence (nitrates, chlorides, sulfates, carbonates), and high water table",Secondary Stone: Alabaster (muqarnas stalactites); Gypsum plaster | Lithology: Gypsum / Alabaster (Hydrous calcium sulfate) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
373.0,"Stonehenge, Avebury and Associated Sites",United Kingdom of Great Britain and Northern Ireland,,,,"Megalithic stone circles, henges, barrows, avenues, and earthen earthworks/mounds.; nan",Yes,"Wiltshire Sarsen Sandstone and Bluestone (dolerite, rhyolite, tuffs)","Sarsen (Silcrete), Chalk","Chalk (used in earthworks/mounds like Silbury Hill), Altar Stone (Metasandstone), Quartz veins, packing stones",Sedimentary Rock,,"Sarsens: Local/Regional (~25 km).
Bluestones: Imported (~200–240 km).",,"Mortise-and-tenon jointing, tongue-and-groove lintel capping, dressed/shaped megaliths.","Standing megalithic uprights, horizontal lintels, central trilithons, inner/outer concentric circles, horseshoe arrangements, packing stones.",Good,"Weathering from surface erosion, natural environmental exposure, animal burrowing, and historic visitor traffic.","Major Stone: Wiltshire Sarsen Sandstone and Bluestone (dolerite, rhyolite, tuffs) | Local Name: Sarsen (Silcrete), Chalk | Secondary Stone: Chalk (used in earthworks/mounds like Silbury Hill), Altar Stone (Metasandstone), Quartz veins, packing stones | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
677.0,Baroque Churches of the Philippines,Philippines,,,,Earthquake Baroque / Fortress Baroque (Peripheral Baroque); nan,Yes,"Tuff (e.g., volcanic tuff/adobe), Coralline / Coralline Limestone, Brick",Adobe stone (volcanic tuff in Manila/Luzon); Coral stone / De capaza,"Brick, Lime (mortar), Coral blocks",Igneous Rock,"Volcanic Tuff, Biogenic Coralline Limestone, Clay Brick",Local,"Local coastal coral reefs and nearby river quarries (e.g., Meycauayan/Guadalupe tuff quarries)","Thick unreinforced block masonry consolidated with lime mortar
","Load-bearing exterior walls, massive buttresses (contrafuertes), bell towers, stone barrel vaults",Excellent,"Environmental degradation and surface erosion due to time, tropical humidity, and salt air","Major Stone: Tuff (e.g., volcanic tuff/adobe), Coralline / Coralline Limestone, Brick | Local Name: Adobe stone (volcanic tuff in Manila/Luzon); Coral stone / De capaza | Secondary Stone: Brick, Lime (mortar), Coral blocks | Lithology: Volcanic Tuff, Biogenic Coralline Limestone, Clay Brick | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
789.0,Historic Centre of the City of Pienza,Italy,,,,"Italian Renaissance, Late Gothic (interior of Cathedral); nan",Yes,Travertine,,,Sedimentary Rock,,,,"Ashlar masonry, carved stone framing, herringbone paving","Load-bearing walls, columns, bell tower foundation, framing",Good,,Major Stone: Travertine | Source Ref: https://www.mdpi.com/2571-9408/7/1/17,,Tier 9: Unflagged
736.0,Seokguram Grotto and Bulguksa Temple,Republic of Korea,,,,Buddhist Religious Architectural Complex / Artificial Stone Grotto & Wooden Temple on Stone Terraces; nan,Yes,"Granite, White Granite",,,,,Local (sourced directly from Mount Tohamsan),Mount Toham (Mount Tohamsan) quarries,Dry-laid fine granite masonry; innovative dome construction using over 360 stone slabs and locking stones,"Artificial domed grotto, stone foundations, raised terraces, steps, and pagodas (Seokgatap and Dabotap)",Moderate,"Moisture and condensation, mold/mildew/moss growth, acid rain, salty fogs, and atmospheric weathering","Major Stone: Granite, White Granite | Source Ref: Official UNESCO World Heritage Dossier #736; ICOMOS Advisory Body Evaluation Document",,Tier 9: Unflagged
704.0,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,China,,,,"Architectural, Monumental, Religious / Memorial Palace Complex; nan",Yes,Ancient Chinese / Imperial China (Confucian Culture),,,Sedimentary Rock,,,,"High-relief carving, openwork carving, dressed stone ashlar","Dragon-wrapped columns, balusters, pillars, gate foundations",Excellent,,Major Stone: Ancient Chinese / Imperial China (Confucian Culture) | OUV/Source Ref: Internal (DS/OUV),,Tier 9: Unflagged
116.0,Old Towns of Djenné,Mali,,,,Traditional Earthen / Islamic Sub-Saharan (Sudano-Sahelian style featuring verticality and buttresses); nan,Yes,earth/mud brick,,Millstone; Scoria,,"Silt, clay, and alluvial sand (for sun-dried mud bricks / djénné ferey)",Local,Local floodplains (toguere) and marshes along the Bani/Niger Rivers,Djenné Ferey (traditional cylindrical or rectangular sun-dried mud bricks laid with earthen mortar and plaster),"Load-bearing mud brick walls, monumental pilasters, and vertical buttresses",Poor,"Leaching, rainwater erosion, gullying from severe seasonal rains and floods","Major Stone: earth/mud brick | Secondary Stone: Millstone; Scoria | Lithology: Silt, clay, and alluvial sand (for sun-dried mud bricks / djénné ferey) | OUV/Source Ref: Internal (DS/OUV)",,Tier 9: Unflagged
132.0,Megalithic Temples of Malta,Malta,,,,Prehistoric monumental buildings / Megalithic temples; nan,Yes,"Coralline limestone, Globigerina limestone",,,Sedimentary Rock,"Hard coralline limestone, Soft globigerina limestone",Locally available stone,,Megalithic masonry; upright stone slabs (orthostats) surmounted by horizontal blocks; corbelled roofing; external walls constructed in larger blocks set alternately face out and edge out with space between inner/outer walls filled with stones and earth,"External walls, sheltered interiors, orthostats (upright stone slabs), horizontal blocks, paved courts, corbelled roofs, horizontal beams",Good,"Material and structural deterioration, erosion by natural and human causes, weathering","Major Stone: Coralline limestone, Globigerina limestone | Lithology: Hard coralline limestone, Soft globigerina limestone",,Tier 9: Unflagged
