TERMS,DEFINITIONS
amphibolite,"A metamorphic rock consisting mostly of the minerals amphibole and plagioclase, with little or no quartz."
amygdaloidal,Describes rocks with amygdules.
amygdule,A gas cavity or vesicle in an igneous rock that has become filled with secondary minerals.
andesite,A volcanic rock characteristically medium dark in color and containing approximately 57%–63% silica and moderate amounts of iron and magnesium.
angular unconformity,"An unconformity between two groups of rocks whose bedding planes are not parallel or in which the older, underlying rocks dip at a different angle (usually steeper) than the younger, overlying strata."
anhedral,A grain lacking well-developed crystal faces.
anhydrite,"A sulfate (sulfur + oxygen) mineral composed of anhydrous calcium sulfate, CaSO4; readily alters to gypsum (hydrous calcium sulfate)."
anorthite,"A silicate (silicon + oxygen) mineral composed of calcium and aluminum, CaAl2Si2O8."
anthodite,A pencil-like speleothem usually composed of aragonite; commonly occurs in clusters radiating out from a common base.
anthracite,"An organic sedimentary rock referred to as “hard coal,” formed from bituminous coal by pressures and temperatures existing in the metamorphic environment of deepest burial accompanied by folding deformation of enclosing rocks. The fixed carbon content reaches a maximum of 85% to 90%. Under still more intense folding deformation and metamorphism, graphite or pure carbon is formed from anthracite."
anticline,"A fold, generally convex upward (“A”-shaped) whose core contains the stratigraphically older rocks."
anticlinorium,A large anticlinal structure of regional extent composed of lesser folds.
apatite,"A group of phosphate (phosphorus + oxygen) minerals composed of calcium together with fluorine, chlorine, hydroxyl, or carbonate in varying amounts and having the general formula Ca5(F,OH,Cl)(PO4,CO3)3."
aphanitic,Describes the texture of fine-grained igneous rock in which different components are not distinguishable by the unaided eye.
aphyric,Describes the texture of a fine-grained igneous rock that lacks coarse crystals.
aplite,"A light-colored, fine-grained intrusive igneous rock emplaced at relatively shallow depths beneath Earth’s surface."
aquiclude,A saturated geologic unit that is incapable of transmitting significant quantities of water under ordinary hydraulic gradients. Replaced by the term “confining bed.”
aquifer,"A rock or sedimentary unit that is sufficiently porous to hold water, sufficiently permeable to allow water to move through it, and saturated to some level."
aragonite,"A carbonate (carbon + oxygen) mineral of calcium, CaCO?; the second most abundant cave mineral after calcite, differing from calcite in its crystal structure."
arenaceous,"Describes a sediment or sedimentary rock consisting of sand-sized fragments, or having a sandy texture or the appearance of sand."
arenite,A general term for sedimentary rocks composed of sand-sized fragments.
arête,"A sharp-edged rocky ridge, commonly present above snowline in rugged, glacially sculpted mountains; results from the continued backward growth of the walls of adjoining cirques."
argillaceous,"Pertaining to, largely composed of, or containing clay-size particles or clay minerals."
argillite,"A weakly metamorphosed rock, derived from mudstone or shale, but more highly indurated; lacks the fissility of shale and the cleavage of slate."
arkose,"A commonly coarse-grained, pink or reddish sandstone consisting of abundant feldspar minerals."
arroyo,"A small, deep, flat-floored channel or gully of an ephemeral stream in the arid and semiarid regions of the southwestern United States."
artesian,Describes groundwater confined under hydrostatic pressure.
artesian pressure,"Hydrostatic pressure of artesian water, often expressed in terms of pounds per square inch at the land surface, or in terms of the height (in feet above the land surface) of a column of water that would be supported by the pressure."
artesian spring,"A spring from which water flows under artesian pressure, usually through a fissure or other opening in the confining bed above the aquifer."
artesian system,"Any system incorporating the following: a water source, a body of permeable rock bounded by bodies of distinctly less permeable rock, and a structure enabling water to percolate into and become confined in the permeable rock under pressure distinctly greater than atmospheric."
artesian well,A well that taps confined groundwater. Water in the well rises above the level of the top of the aquifer under artesian pressure.
artiodactyla,"Any of the order Artiodactyla of ungulates (e.g., camel or pig) with an even number of functional toes on each foot."
ash,"Fine-grained material, less than 2 mm (0.08 in) across, ejected from a volcano."
ash fall,"Airborne ash that falls from an eruption cloud, and the resulting deposit."
ash flow,"A density current, generally a hot mixture of volcanic gases and tephra that travels across the ground surface; produced by the explosive disintegration of viscous lava in a volcanic center, or from a fissure or group of fissures. The solid materials contained in a typical ash flow are generally unsorted and ordinarily include volcanic dust, pumice, scoria, and blocks in addition to ash."
ash-flow tuff,A tuff deposited by an ash flow.
asthenosphere,"Earth’s relatively weak layer below the rigid lithosphere where isostatic adjustments take place, magmas may be generated, and seismic waves are strongly attenuated; part of the upper mantle."
astronomical tide,"The periodic rise and fall of a body of water resulting from gravitational interactions between the Sun, Moon, and Earth. Synonymous with “tide,” but used to emphasize the absence of atmospheric influences."
atoll,A ring or horseshoe-shaped coral reef rising from deep water; commonly 1 km (0.6 mi) to more than 100 km (60 mi) across.
augen,Describes large lenticular minerals that are eye-shaped in cross section.
augite,"A dark-green to black silicate (silicon + oxygen) mineral of the pyroxene group that contains abundant aluminum, iron, and magnesium."
aulacogen,"Meaning “furrow” in Greek. A sediment-filled continental rift that trends at a high angle to the adjacent continental margin or orogeny. Also, a narrow, elongate basin that extends into the craton either from a passive-margin basin or from a mountain belt that formed from a passive-margin basin."
aureole,A zone surrounding an igneous intrusion in which the country rock shows the effects of contact metamorphism.
authigenic,"Formed or generated in place, specifically said of rock constituents and minerals that have not been transported or that crystallized locally at the spot where they are now found, and of minerals that came into existence at the same time as, or subsequently to, the formation of the rock of which they constitute a part."
autochthon,"A body of rocks in the footwall of a fault that has not moved substantially from its site of origin; the rocks may be slightly to considerably deformed, however."
autochthonous,"A widely applied term, meaning formed or produced in the place where now found. It is similar in meaning to authigenic, which refers to constituents rather than whole formations."
avalanche,"A large mass of snow, ice, soil, or rock, or a mixture of these materials, falling, sliding, or flowing very rapidly under the force of gravity; velocities may exceed 500 kph (300 mph). Commonly, in geologic writing, an avalanche other than a “snow avalanche” includes a descriptive term such as “debris avalanche.”"
avulsion,The sudden cutting off or separation of land by a flood or an abrupt change in a stream course.
axial stream,"The main stream of an intermontane valley, flowing in the deepest part of the valley parallel to it longest dimension. Also, a stream that follows a syncline or anticline."
axis,A straight-line approximation of the trend of a fold along the boundary between its two limbs. “Hinge line” is a preferred term.
azimuth,Direction of a horizontal line as measured on an imaginary horizontal circle.
badlands,Eroded topography characterized by steep slopes and surfaces with little or no vegetative cover; composed of unconsolidated or poorly cemented clays or silts.
back barrier,The landward side of a barrier island.
back reef,The landward side of a reef.
backshore,"The upper or inner, usually dry, zone of a shore or beach. Also, the area lying immediately at the base of a sea cliff. Synonymous with “backbeach.”"
backwasting,Wasting (gradual erosion) that causes a slope to retreat without changing its gradient.
backwater,A body of water that is parallel to a river but is stagnant or little affected by the river’s currents.
bajada,"A broad, continuous alluvial slope or gently inclined detrital surface formed from the coalescence of alluvial fans along a basin margin."
bank,"A submerged ridge of sand in the sea, a lake, or a river, usually exposed during low tide or low water."
bank atoll,A ring-shaped coral reef or reef complex rising from an oceanic plateau or submarine bank.
barchan dune,A crescent-shaped dune in which the arms or horns of the crescent point downwind; characteristic of inland desert regions.
barrier island,"A long, low, narrow island consisting of a ridge of sand that parallels the coast."
basalt,"A volcanic rock that is characteristically dark in color (gray to black), contains approximately 53% silica or less, and is rich in iron and magnesium."
basaltic andesite,A volcanic rock that is commonly dark gray to black and contains approximately 53%–57% silica.
base flow,Streamflow supported by groundwater and not attributed to direct runoff from precipitation or snow melt.
base level,"The lowest level to which a stream channel can erode. The ultimate base level is sea level, but temporary, local base levels exist."
basement,"The undifferentiated rocks, commonly igneous and metamorphic, that underlie rocks exposed at the surface, commonly sedimentary. In many regions the basement is of Precambrian age, but it may be much younger. Also, Earth’s crust below sedimentary deposits that extends down to the Mohorovicic discontinuity."
basic,"Describes an igneous rock that is relatively low in silica and relatively rich in iron, magnesium, and/or calcium."
basin (structural),A doubly plunging syncline in which rocks dip inward from all sides.
basin (sedimentary),"Any depression, from continental to local scale, into which sediments are deposited."
batholith,"A large, generally discordant plutonic body having an aerial extent of 40 mi2 (100 km2) or more and no known floor."
bathymetry,The measurement of ocean or lake depths and the charting of the topography of the ocean or lake floor.
bayhead bar,"An elongate, offshore ridge or mass, usually of sand, formed a short distance from the shore and across a bay near its head; similar to a bayhead barrier, but smaller and generally submerged."
bayhead barrier,"An elongate, offshore ridge or mass, usually of sand, rising above the high-tide level, formed a short distance from the shore and across a bay near its head. It commonly has a narrow inlet."
baymouth bar,"A long, narrow accumulation of sand or gravel, deposited entirely or partly by waves across the mouth or entrance of a bay."
beach,"The unconsolidated material at the shoreline that covers a gently sloping zone, typically with a concave profile, extending landward from the low-water line to the place where there is a definite change in material or physiographic form (e.g., a cliff), or to the line of permanent vegetation (usually the effective limit of the highest storm waves)."
beach face,The section of the beach normally exposed to the action of wave uprush.
beachrock,"A poorly to well-cemented sedimentary rock formed in the intertidal zone, consisting of sand and gravel cemented with calcium carbonate."
bed,"The smallest sedimentary stratigraphic unit, commonly ranging in thickness from about 1 cm (0.4 in) to 1 to 2 m (40 to 80 in) and distinguishable from beds above and below."
bedding,Depositional layering or stratification of sediments.
bed load,The part of the total stream load that is moved on or immediately above the stream bed.
bedrock,Solid rock that underlies unconsolidated sedimentary deposits and soil.
bedset,A succession of beds bounded by surfaces of erosion or non-deposition.
benthic,"Pertaining to the ocean bottom or organisms living on or in substrate; also, referring to that environment."
bentonite,"Soft clay or greasy claystone composed mostly of the clay mineral smectite, formed by the chemical alteration of glassy volcanic ash in contact with water."
bergschrund,The crevasse at the head of an alpine glacier that separates the moving snow and ice from the relatively immobile snow and ice adhering to the headwall of a cirque.
berm,"A low, impermanent, nearly horizontal or landward-sloping bench, shelf, or ledge above the high-water line on a beach."
bioherm,"A moundlike, domelike, lenslike, or reeflike mass of rock built up by sedentary organisms, composed almost exclusively of their calcareous remains, and enclosed or surrounded by rock of different lithology."
biotite,"A dark-colored, shiny silicate mineral (silicon + oxygen) of the mica group composed of magnesium and/or iron, K(Mg,Fe)Si3O10(OH)2; characterized by perfect cleavage, readily splitting into thin sheets."
bioturbation,The reworking of sediments by organisms.
bituminous,"Describes rocks that contain (and sometimes smell of) asphalt, tar, or petroleum."
bituminous coal,"An organic sedimentary rock referred to as “soft coal,” resulting from deeper burial with rising pressures and temperatures, driving hydrogen and other volatiles and leaving a fixed carbon content of 50% to 60%."
bituminous limestone,"A dark, dense limestone containing abundant organic matter that probably accumulated under stagnant conditions; commonly emits a fetid odor when freshly broken or vigorously rubbed."
bivalve,"Having a shell composed of two distinct, but equal or nearly equal, movable valves, which open and shut."
block,A pyroclast ejected in a solid state; it has a diameter greater than 64 mm (2.5 in).
block (fault),A segment of Earth’s crust bounded completely or partially by faults.
blowout,"A general term for a small saucer-, cup-, or trough-shaped hollow or depression formed by wind erosion on a preexisting dune or other sand deposit, especially in an area of shifting sand or loose soil, or where protective vegetation is disturbed or destroyed."
body fossil,"Evidence of past organisms such as bones, teeth, shells, or leaf imprints."
bog iron ore,"A soft, spongy, and porous deposit of impure hydrous iron oxide, formed in bogs, marshes, swamps, peat mosses, and shallow lakes by precipitation from iron-bearing waters and by the oxidizing action of algae, iron bacteria, or the atmosphere."
bolson,"An extensive, flat-floored basin covered with alluvium into which drainage from the surrounding mountains flows toward a playa or central depression. The term is used in the desert regions of the southwestern United States."
bomb,A viscous pyroclast more than 64 mm (2.5 in) in diameter ejected then shaped while in flight; it commonly has a hollow or vesicular interior.
boudinage,"A structure in highly deformed sedimentary or metamorphic rocks, in which an originally continuous layer or bed has been stretched, thinned, and broken at regular intervals into bodies resembling “boudins” (sausages)."
boulder,"A detached rock mass larger than a cobble (see below), having a diameter greater than 256 mm (10 in); the largest rock fragment recognized by sedimentologists."
Bouma cycle,"A fixed, characteristic succession of five intervals that makes up a complete sequence of a turbidite, from bottom top (oldest to youngest): (1) graded, (2) lower parallel laminations, (3) current ripple laminations, (4) upper parallel laminations, and (5) politic; one or more intervals may be missing. Named after Arnold Bouma (1932–2011), a renowned researcher, educator, and sedimentologist."
bounding surface,An erosion truncation surface that separates groups of cross-beds on various scales.
boxwork,"A network of resistant, intersecting fins, usually of calcite, that project outward from the intervening, more deeply weathered bedrock of a cave wall."
brachiopod,"Any marine invertebrate belonging to the phylum Brachiopoda, characterized by two bilaterally symmetrical valves that are commonly attached to a substratum but may also be free. Range: Lower Cambrian to Holocene."
braided stream,A sediment-clogged stream that forms multiple channels that divide and rejoin.
breakdown,"Collapse of a cave ceiling or walls of a cave. Also, the accumulation of debris thus formed."
breakwater,"An offshore, generally shore-parallel structure that breaks the force of the waves."
breccia,"A coarse-grained, generally unsorted sedimentary rock consisting of cemented angular clasts more than 2 mm (0.08 in) across."
breccia (volcanic),"A coarse-grained, generally unsorted volcanic rock consisting of partially welded angular fragments of ejected material."
brecciated,"Converted into, characterized by, or resembling a breccia."
brecciation,"Formation of a breccia, as by crushing or breaking a rock into angular fragments."
brittle,Describes a rock that fractures before sustaining deformation.
bryozoan,Any invertebrate belonging to the phylum Bryozoa; characterized by colonial growth and a calcareous skeleton. Range: Ordovician (and possibly Upper Cambrian) to Holocene.
burrow,"A tubular or cylindrical hole or opening, made in originally soft or loose sediment by a mud-eating worm, mollusk, or other invertebrate; may be later filled with clay or sand and preserved."
calcareous,Describes a substance that contains calcium carbonate. When applied to a rock name it implies that as much as 50% of the rock is calcium carbonate.
calcarenite,Limestone consisting of more than 50% sand-size carbonate grains.
calcium carbonate,CaCO3. A solid occurring in nature as primarily calcite and aragonite.
calc-silicate rock,A metamorphic rock consisting mainly of calcium-bearing silicates and formed by metamorphism of impure limestone or dolomite.
calcic,Describes a mineral or igneous rock containing a significant amount of calcium.
calcite,"A carbonate (carbon + oxygen) mineral of calcium, CaCO?; calcium carbonate. It is the most abundant cave mineral."
calcrete,"A deposit of calcium carbonate that forms a cemented layers within a soil profile. Synonymous with “caliche,” especially used in the southwestern United States."
caldera,"A large, more-or-less circular, basin-shaped volcanic depression formed by collapse during an eruption."
caliche,"A hard layer of cemented calcium carbonate, commonly on or near the surface in arid and semiarid regions."
calving,The breaking away of a mass of ice from a near-vertical ice face into a body of water.
cape,"An extensive, somewhat rounded irregularity of land jutting out from the coast into a large body of water, either as a peninsula (e.g., Cape Cod, Massachusetts) or as a projecting point (e.g., Cape Hatteras, North Carolina). Also, the part of the projection extending farthest into the water."
capillary action,"The action by which a fluid, such as water, is drawn up in small interstices or tubes as a result of surface tension."
capillary fringe,The lowest part of the unsaturated zone immediately above the water table in which the interstices (intervening spaces) are filled with water as a result of capillary action.
carbonaceous,"Describes a rock or sediment with considerable carbon, especially organic material, hydrocarbon, or coal."
carbonate,"A mineral group composed of carbon and oxygen plus an element or elements; for example calcite, CaCO3; and dolomite, CaMg(CO3)2."
carbonate rock,"A rock, for example, limestone, calcite, and dolomite, that consist primarily of carbonate minerals."
cataclastic,"Describes a structure in a rock, such as bending, breaking, or crushing of minerals, that results from extreme stress during metamorphism."
cataclasite,"A fine-grained rock formed by pervasive fracturing, milling, crushing, and grinding by brittle deformation, typically under high pressure."
cauldron,"An inclusive term for all volcanic subsidence structures regardless of shape or size, depth of erosion, or connection with the surface; the term includes caldron subsidences and collapse calderas."
cay,"A small, low, coastal island or emergent reef of sand or coral. Also, a flat mound of sand and coral fragments built up on a reef flat at or just above high-tide level. The term is used especially in the Caribbean where it is pronounced “key” and sometimes spelled “kay.”"
cement (sedimentary),"Mineral material, usually chemically precipitated, that occurs in the spaces among the individual grains of a sedimentary rock, thus binding the grains together."
cementation,"The process by which clastic sediments become lithified or consolidated into hard, compact rocks, usually through deposition or precipitation of minerals in the spaces among the individual grains of the sediment; may occur simultaneously with sedimentation or at a later time."
cephalopod,"A marine mollusk of the class Cephalopoda, characterized by a head surrounded by tentacles and, in most fossil forms, a straight, curved, or coiled calcareous shell divided into chambers. Range: Cambrian to Holocene."
chalcedony,A cryptocrystalline variety of quartz.
channel,"The bed of a stream or river. Also, a natural passageway or depression of perceptible extent containing continuously or periodically flowing water, or forming a connecting link between two bodies of water."
channel (coastal),A relatively narrow sea or stretch of water between two close landmasses and connecting two larger bodies of water.
channel bar,An elongated deposit of sand and gravel in the course of a stream; commonly in braided streams.
chemical weathering,"Chemical breakdown of minerals at Earth’s surface via reaction with water, air, or dissolved substances; commonly results in a change in chemical composition providing more stablity in the current environment."
chert,"An extremely hard sedimentary rock with conchoidal (resembling a conch shell) fracturing, consisting mostly of interlocking crystals of quartz."
chertification,A type of silicification in which fine-grained quartz or chalcedony is introduced into limestone or dolomite.
chlorite,"A group of silicate (silicon + oxygen) minerals composed of iron, magnesium, and aluminum with the general formula (Mg,Fe)6(AlSiO3)O10(OH)8."
chronology,The arrangement of events in their proper sequence in time.
chronostratigraphy,The branch of stratigraphy that deals with the ages of strata and their time relations.
chute cutoff,A narrow “short cut” across a meander bend.
cinder,"A glassy, vesicular, pyroclastic fragment that falls to the ground in an essentially solid condition."
cinder cone,"A conical hill, commonly steep, ranging from tens to hundreds of meters tall, formed by the accumulation of solidified fragments of lava that fell around the vent during a basaltic or andesitic eruption."
cirque,"A semicircular, topographic hollow eroded by alpine glaciers; commonly contains a small round lake, and may or may not be occupied by ice or snow."
clast,"An individual constituent, grain, or fragment of a rock or unconsolidated deposit, produced by the mechanical or chemical disintegration of a larger rock mass."
clastic,Describes rocks or sediments made of fragments of preexisting rocks.
clastic dike,"A tabular mass of sedimentary material that cuts across the structure or bedding of preexisting rock in the manner of an igneous dike; formed by filling cracks or fissures from below, above, or laterally."
clay,Minerals and sedimentary fragments that are less than 1/256 mm (0.00015 in) across.
clay mineral,Any mineral occurring in the clay-sized fraction with the understanding that size imposes physical and chemical characteristics.
claystone (igneous),"A dull, altered, feldspathic igneous rock in which the groundmass or the whole rock has been reduced to a compact mass of earthy or clayey alteration products."
claystone (sedimentary),An indurated rock with more than 67% clay-sized minerals.
cleavage,The tendency of a mineral to break along planes of weak bonding.
climbing dune,A dune formed by aeolian piling-up of sand by wind against a cliff or mountain slope.
clinopyroxene,A group name for pyroxene minerals that crystallize in the monoclinic system and sometimes contain considerable calcium with or without aluminum and the alkali metals.
coal,"An organic sedimentary rock consisting of carbon, hydrogen, and oxygen, with some sulfur and nitrogen. Formed by the destructive distillation of plant remains under anaerobic and progressively rising pressures and temperatures."
coalification,The alteration or metamorphism of plant material into coal.
coarse-grained,"Describes a crystalline rock and texture in which the individual minerals are relatively large, specifically an igneous rock whose particles have an average diameter greater than 5 mm (0.2 in). Also, describes sediment or sedimentary rock and texture in which the individual constituents are easily seen with the unaided eye, specifically sediment or rock whose particles have an average diameter greater than 2 mm (0.08 in)."
coastal plain,"Any lowland area bordering a sea or ocean, extending inland to the nearest elevated land, and sloping very gently seaward; may result from the accumulation of material along a coast."
cobble,"A rock fragment larger than a pebble and smaller than a boulder, having a diameter in the range of 64–256 mm (2.5–10 in), being somewhat rounded or otherwise modified by abrasion in the course of transport."
cohesion,The intermolecular attraction by which the elements of a body are held together.
coignimbrite,"Fallout tephra deposited from a pyroclastic flow, composed of near-vent breccias with large lithic clasts, which dropped from pyroclastic flows, and fine-grained ash elutriated (separated based on size) from the top of a pyroclastic flow by the turbulent rise of hot gases."
collapse structure,"Any rock structure resulting from the removal of support and consequent collapse by the force of gravity, for example, gravitational sliding on fold limbs, salt solution causing collapse of overlying rocks in salt basins, sinkhole collapse, or collapse into mine workings."
colluvium,"A general term applied to loose and incoherent deposits, usually at the foot of a slope or cliff and brought there chiefly by gravity."
columnar joints,"Parallel, prismatic columns, polygonal in cross section, in basaltic flows and sometimes in other extrusive and intrusive rocks; form as a result of contraction during cooling."
compaction,The process whereby fine-grained sediment is converted to consolidated rock.
compression,A decrease in volume of material (including Earth’s crust) as it is pressed or squeezed together.
composite volcano,"Steep, conical volcanoes built by the eruption of viscous lava flows, tephra, and pyroclastic flows; usually constructed over tens to hundreds of thousands of years and may erupt a variety of magma types (basalt to rhyolite); typically consist of many separate vents. Synonymous with “stratovolcano.”"
conchoidal,Resembling the curve of a conch shell and used to describe a smoothly curved surface on a rock or mineral; characteristic of quartz and obsidian.
concordant,Describes a stratum with contacts parallel to the orientation of adjacent strata.
concretion,"A hard, compact aggregate of mineral matter, rounded to irregularly shaped; composition generally differs from that of the rock in which it occurs."
confined aquifer,An aquifer bounded above and below by confining beds. An aquifer containing confined groundwater.
confined groundwater,Groundwater under pressure significantly greater than that of the atmosphere. Its upper surface is the bottom of a confining bed.
confining bed,A body of relatively impermeable or distinctly less permeable material stratigraphically adjacent to one or more aquifers. Replaced the term “aquiclude.”
conglomerate,"A coarse-grained, generally unsorted, sedimentary rock consisting of cemented, rounded clasts larger than 2 mm (0.08 in) in diameter."
conjugate set,"A pair of intersecting joints, usually formed during compression; commonly described on the basis of the angle of intersection."
conodont,One of a number of small fossil elements assigned to the order Conodontophorida; commonly toothlike in form but not necessarily in function.
contact,The surface between two types or ages of rocks.
contact metamorphism,"One of the principal local processes of thermal metamorphism, genetically related to the intrusion and extrusion of magmas and taking place in rocks at or near their contact with a body of igneous rock. Metamorphic changes are effected by the heat and fluids emanating from the magma and by some deformation connected with the emplacement of the igneous mass."
continental,"Formed on land rather than in the sea. Continental deposits may be of lake, swamp, wind, stream, or volcanic origin."
continental drift,A term for the process by which continents move relative to one another; it is a consequence of plate tectonics.
continental crust,"Earth’s crust that is rich in silica and aluminum and underlies the continents and the continental shelves; ranges in thickness from about 25 km (15 mi) to more than 70 km (40 mi) under mountain ranges, averaging about 40 km (25 km) thick."
continental rise,Gently sloping region from the foot of the continental slope to the deep ocean abyssal plain; generally consists of smooth topography but may have submarine canyons.
continental shelf,The shallowly submerged—covered by water depths of less than 200 m (660 ft)—part of a continental margin that extends from the shoreline to the continental slope.
continental shield,"A large area of exposed basement at the interior of a continent, commonly with a very gently convex surface, surrounded by sediment-covered platforms. The rocks of virtually all shield areas are Precambrian."
continental slope,The relatively steep slope from the outer edge of the continental shelf down to the more gently sloping ocean depths of the continental rise or abyssal plain.
convergent plate boundary,A boundary between two plates that are moving toward each other. Essentially synonymous with “subduction zone” but used in different contexts.
coprolite,Fossilized feces.
coquina,Limestone composed of cemented shell fragments.
coral,"Any of a large group of bottom-dwelling, sessile, marine invertebrate organisms (polyps) that belong to the class Anthozoa (phylum Cnidaria), characterized by production of an external skeleton of calcium carbonate; may exist as solitary individuals or grow in colonies. Range: Abundant in the fossil record in all periods later than the Cambrian."
coralline algae,Calcareous algae that form encrustations resembling coral.
cordillera,"An extensive assemblage of more or less parallel chains of mountains (together with their associated valleys, basins, plains, plateaus, rivers, and lakes), especially the main mountain axis of a continent."
core,"Earth’s center, consisting of an inner core and outer core: The inner core extends from a depth of about 5,200 km (3,200 mi) to the center of the Earth at 6,371 km (3,959 mi). The outer core extends from a depth of 2,900 km (1,800 mi) to the inner core and is presumed to be liquid."
core (drill),"A cylindrical section of rock or sediment. usually 5–10 cm (2–4 in) across and up to several meters long, taken as a sample of the interval penetrated by a core bit, and brought to the surface for geologic examination and/or laboratory analysis."
country rock,"The rock surrounding an igneous intrusion or pluton; also, the rock enclosing or traversed by a mineral deposit."
craton,The relatively old and geologically stable interior of a continent.
creep,"The slow, imperceptible downslope movement of mineral, rock, and soil particles under gravity."
crevasse,"A deep fissure or crack in a glacier, resulting from differential movement over an uneven surface; may be as much as 100 m (300 ft) deep."
crinoid,"A marine invertebrate (echinoderm) that uses a stalk to attach itself to a substrate; “arms” are used to capture food. Range: Paleozoic to Holocene, through very common in the Paleozoic and rare today."
cross-bed,"A single bed, inclined at an angle to the main planes of stratification; the term is commonly restricted to a bed that is more than 1 cm (0.4 in) thick."
