unesco_id,site_name,stone_mention
32,Wieliczka and Bochnia Royal Salt Mines,Rock Salt
984,Blaenavon Industrial Landscape,Coal
1083,Three Parallel Rivers of Yunnan Protected Areas,Granite
1083,Three Parallel Rivers of Yunnan Protected Areas,Limestone
1083,Three Parallel Rivers of Yunnan Protected Areas,Conglomerate
1083,Three Parallel Rivers of Yunnan Protected Areas,Sandstone
1131,Royal Exhibition Building and Carlton Gardens,Slate
130,Ħal Saflieni Hypogeum,Limestone
130,Ħal Saflieni Hypogeum,Coralline
130,Ħal Saflieni Hypogeum,Coralline Limestone
560,"Archaeological Zone of Paquimé, Casas Grandes",Adobe
1438,Trang An Landscape Complex,Limestone
1461,Kaeng Krachan Forest Complex,Granite
1461,Kaeng Krachan Forest Complex,Marbled
1461,Kaeng Krachan Forest Complex,Limestone
98,Plitvice Lakes National Park,Chalk
98,Plitvice Lakes National Park,Limestone
98,Plitvice Lakes National Park,Travertine
181,Tasmanian Wilderness,Limestone
787,The Trulli of Alberobello,Limestone
1642,Mount Kumgang – Diamond Mountain from the Sea,Granite
1642,Mount Kumgang – Diamond Mountain from the Sea,White Granite
179,Tassili n'Ajjer,Sandstone
252,Taj Mahal,White Marble
252,Taj Mahal,Marble
1751,Okefenokee National Wildlife Refuge,Peat
854,East Rennell,Limestone
1622,Arslantepe Mound,Adobe
839,Alejandro de Humboldt National Park,Peridotite
839,Alejandro de Humboldt National Park,Serpentine
547,Mount Huangshan,Granite
975,Zollverein Coal Mine Industrial Complex in Essen,Coal
689,As-Salt - The Place of Tolerance and Urban Hospitality,Limestone
494,Andrefana Dry Forests,Limestone
306,Matobo Hills,Granite
409,Hawaii Volcanoes National Park,Lava
951,Phong Nha-Ke Bang National Park and Hin Nam No National Park,Limestone
4,L’Anse aux Meadows National Historic Site,Peat
1418,"Fujisan, sacred place and source of artistic inspiration",Lava
1013,Gunung Mulu National Park,Limestone
1013,Gunung Mulu National Park,Sandstone
1721,Umm Al-Jimāl,Basaltic
769,Uvs Nuur Basin,Marbled
509,Mosi-oa-Tunya / Victoria Falls,Basalt
573,Air and Ténéré Natural Reserves,Volcanic Rock
1410,El Pinacate and Gran Desierto de Altar Biosphere Reserve,Granite
1410,El Pinacate and Gran Desierto de Altar Biosphere Reserve,Lava
1427,Mount Etna,Cinder
1427,Mount Etna,Lava
225,Pirin National Park,Limestone
1504,Stećci Medieval Tombstone Graveyards,Limestone
898,High Coast / Kvarken Archipelago,Peat
968,Agricultural Landscape of Southern Öland,Limestone
1692,Evaporitic Karst and Caves of Northern Apennines,Gypsum
1747,Peruaçu River Canyon,Limestone
1747,Peruaçu River Canyon,Speleothem
24,Nahanni National Park,Limestone
672,Ha Long Bay - Cat Ba Archipelago,Limestone
1575,Barberton Makhonjwa Mountains,Greenstone
1728,Møns Klint,Chalk
1697,Nyungwe National Park,Peat
111,Bale Mountains National Park,Lava
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Volcanic Rock
258,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",Porphyritic
1216,Malpelo Fauna and Flora Sanctuary,Rag
1094,Purnululu National Park,Quartz Sandstone
1094,Purnululu National Park,Sandstone
917,Greater Blue Mountains Area,Sandstone
1174,Chiribiquete National Park – “The Maloca of the Jaguar”,Sandstone
629,Macquarie Island,Pillow Basalt
629,Macquarie Island,Basalt
719,Virgin Komi Forests,Peat
1722,The Flow Country,Peat
640,Wulingyuan Scenic and Historic Interest Area,Sandstone
638,Huanglong Scenic and Historic Interest Area,Limestone
1719,The wider area of Mount Olympus,Limestone
151,Olympic National Park,Marbled
652,Puerto-Princesa Subterranean River National Park,Limestone
308,Yosemite National Park,Granite
369,Giant's Causeway and Causeway Coast,Basalt Column
369,Giant's Causeway and Causeway Coast,Basalt
1699,‘Uruq Bani Ma’arid,Limestone
1292,Mount Sanqingshan National Park,Granite
63,Virunga National Park,Lava
390,Škocjan Caves,Limestone
303,Iguazu National Park,Basaltic
1285,Joggins Fossil Cliffs,Coal
1758,The Bony Fish Fossils of the Western Limfjord – Evolution and Climate Adaptation in the Earliest Eocene,Volcanic Ash
1758,The Bony Fish Fossils of the Western Limfjord – Evolution and Climate Adaptation in the Earliest Eocene,Diatomite
1475,Ennedi Massif: Natural and Cultural Landscape,Sandstone
1577,Budj Bim Cultural Landscape,Lava
