Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Exploded Major Stone,Standardized Stone Name,Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
1570,"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",India,"Main Shiva temple in a walled temple complex with smaller temples and Mandapa structures; Kakatiyan style featuring sandbox foundations and light-weight porous ""floating bricks""; nan",Internal (DS/OUV),,Kakatiya Period (1123–1323 CE); temple construction began in 1213 CE and continued for ~40 years under rulers Rudradeva and Recharla Rudra,Internal (DS/OUV),,Kakatiya Dynasty,Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Sandstone
",Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,"Granite, Dolerite, Light-weight porous bricks (""floating bricks"") and sand (used in sandbox foundation)",Internal (DS/OUV),,,,,"Fine-grained, hard dolerite (chiseled to metallic polish); Sandstone; Granite",Internal (DS/OUV),,,,,,,,,,,Hard dolerite with a fine lustre / metallic finish; porous lightweight bricks,Internal (DS/OUV),,,,,,,,India,Internal (DS/OUV),,Local (Erected using five types of local materials),Internal (DS/OUV),,,,,"Sandstone: Main temple structure and walls


Granite: Columns and beams


Sand: Sandbox foundation


Porous Clay Bricks: Lightweight pyramidal Vimana (horizontally stepped tower)",Internal (DS/OUV),,"Dolerite: Carved bracket figures, sculptures, and detailed relief carvings with intact lustre",Internal (DS/OUV),,Sandbox foundation technology; mortise-and-tenon or interlocking stone joinery; anastylosis (planned/applied for Kameshwara temple),Internal (DS/OUV),,,,,Remanufactured lightweight floating bricks (reconstructed after studies to match 13th-century techniques),Internal (DS/OUV),,Well-preserved; highly intact visual and structural integrity; protected from natural disasters due to innovative earthquake-resistant construction techniques,Internal (DS/OUV),,Excellent,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
1670,Sacred Ensembles of the Hoysalas,India,Temple / Temple complexes; nan,Internal (DS/OUV),,12th to 13th centuries (1117 CE onwards),Internal (DS/OUV),,Hoysala Dynasty / Kingdom,Internal (DS/OUV),,,Internal (DS/OUV),,Chloritic schist / Schist,Chloritic schist / Schist,Schist,Internal (DS/OUV),,Metamorphic Rock,Internal (DS/OUV),,,,,Soapstone,Internal (DS/OUV),,Chloritic Schist,Internal (DS/OUV),,,,,,,,,,,,,,Chlorite (inferred from chloritic schist),Internal (DS/OUV),,,,,,,,,,,,,,"Stellate sanctum, circumambulatory platform, adhisthana, walls, temples",Internal (DS/OUV),,"Sculptural gallery, multi-tiered friezes, hyper-real sculptures, stone carvings, Sala legend sculptures",Internal (DS/OUV),,"Stellate plan, horizontal friezes, fine stone carving",Internal (DS/OUV),,,,,,,,"Past alterations noted (loss of superstructures, loss of enclosure walls)",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
404,"Acropolis, Athens",Greece,"Classical Greek / Sanctuary & Monumental Complex (Parthenon, Erechtheion, Propylaea, Temple of Athena Nike); nan",Internal (DS/OUV),,5th Century BC (with earliest fortifications dating to 13th Century BC),Internal (DS/OUV),,Ancient Greek / Classical Athenian (Mycenaean origin),Internal (DS/OUV),,,Internal (DS/OUV),,White Marble,White Marble,Marble,Internal (DS/OUV),,Metamorphic Rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,White,Internal (DS/OUV),,,,,,,,Mt. Penteli (Pentelikon),Internal (DS/OUV),,Greece,Internal (DS/OUV),,Pentelic Marble / Penteli Marble,,,,,,"Temples, Propylaea, Fortification Walls, Foundations, Altars",Internal (DS/OUV),,Sculptural and Architectural elements,Internal (DS/OUV),,Ancient classical masonry/building techniques,Internal (DS/OUV),,Eroded architectural elements,Internal (DS/OUV),,White marble quarried from Mt. Penteli,Internal (DS/OUV),,Integrated intervention program ongoing since 1975 following the principles of the Venice Charter,Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
277,Hatra,Iraq,"Fortified city, temples/shrines with Iwans (open halls with high barrel-vaulted roofs), temenos, inner & outer circular defensive walls, towers, strongholds, gates, and bridges.; nan",Internal (DS/OUV),,1st century BC to mid-2nd century AD; Parthian empire era (ca. 200 BC–220 AD). Inscribed on UNESCO World Heritage list in 1985.,Internal (DS/OUV),,"Parthian Empire, Aramean, Arab Kingdom, Assyro-Babylonian with Hellenistic and Roman influences.",Internal (DS/OUV),,,Internal (DS/OUV),,"Gypsum, Stone",Gypsum,Calcite/Gypsum,Internal (DS/OUV),,Sedimentary Rock,,,"Bitumen, Mudbrick, Brick",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,Stone quarries near the site.,Internal (DS/OUV),,Iraq,Internal (DS/OUV),,Local (relied for building materials on stone quarries near the site).,Internal (DS/OUV),,,,,"Inner main wall (diameter ~2 km), strongholds, towers, barrel-vaulted roofs / Iwans, rectangular temenos wall, contiguous Iwans, bridges, and wells.",Internal (DS/OUV),,"Carved stone and gypsum, pilastered portico, carved stone statues, statuettes of gods/rulers, sculptured figures, and Aramaic inscriptions.",Internal (DS/OUV),,"Mudbrick, brick, bitumen and gypsum, stone and gypsum; barrel vaults; carved stone and chiselled stone masonry.",Internal (DS/OUV),,"Severe natural weathering, erosion, neglect, looting, and localized conflict-inflicted damage (2015–2017).",Internal (DS/OUV),,Stone cut and chiselled from the same local stone quarries by specialized archaeologists and Mosul stone chisellers.,Internal (DS/OUV),,Historical conservation/restoration of walls and temenos rooms; ongoing plans for archaeological conservation of natural/conflict erosion.,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
129,Maya Site of Copan,Honduras,"Ruined citadel, imposing public squares, pyramids, terraces, temples, plazas, ball courts, stadium, and residential complexes; nan",Internal (DS/OUV),,"Classic Maya Period (AD 300–900); first population evidence ~1500 B.C., first Maya-Cholan immigration ~100 A.D., dynasty started 427 A.D.",Internal (DS/OUV),,Classic Maya Civilization,Internal (DS/OUV),,"(iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Obsidian (Mentioned in OUV: stairway figures inlaid with obsidian),Obsidian (Mentioned in OUV: stairway figures inlaid with obsidian),Obsidian,Internal (DS/OUV),,Igneous Rock,,,,,,,,,,,,,,,,,,Black (associated with obsidian),Internal (DS/OUV),,,,,,,,,,,,,,"Imported / Regional movement (Immigration & leaders coming from Petén / Guatemalan Highlands, but specific stone provenance is not stated)",Internal (DS/OUV),,,,,"Pyramids, terraces, temples, plazas, altars, stadium, ball courts, mounds",Internal (DS/OUV),,"Sculptured monoliths and altars; Hieroglyphic Stairway with over 1,800 glyphs; stairway sculptured with jaguar figures",Internal (DS/OUV),,"Paved expanse, level plazas, elevated masses, in situ sculpture and stonework",Internal (DS/OUV),,"River erosion, microflora growth, seismic vulnerability (earthquake damage)",Internal (DS/OUV),,Replicas used in situ for preservation while originals moved to Sculpture Museum,Internal (DS/OUV),,Restoration projects carried out following international standards since 1980,Internal (DS/OUV),,Poor,,,Yes,,,,Tier 9: Unflagged,
88,Nubian Monuments from Abu Simbel to Philae,Egypt,"Temples, Tombs, Sanctuary, Kiosk, Monastery, Gate, Ruins; nan",Internal (DS/OUV),,"Old Kingdom, Middle Kingdom, New Kingdom (15th century BCE) to Ptolemaic and Roman periods (2nd century CE)",Internal (DS/OUV),,Ancient Egyptian / Nubian / Greco-Roman / Coptic,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Granite ,Granite,Granite,Internal (DS/OUV),,Igneous Rock,,,,,,,,,Granite (Mentioned under Criterion iii & Protection requirements),Internal (DS/OUV),,,,,,,,,,,,,,,,,Stone quarries of Aswan / Granite quarries of the Cataract area,Internal (DS/OUV),,Egypt,Internal (DS/OUV),,Local (Exploited within the Aswan region),Internal (DS/OUV),,,,,"Temples carved out of solid rock escarpment (rock-cut architecture), obelisks, colossi, sanctuary walls",Internal (DS/OUV),,"Richly decorated tombs, relief sculptures/scenes",Internal (DS/OUV),,Ancient Egyptian quarrying and rock-cut techniques (disassembled and reconstructed during relocation),Internal (DS/OUV),,"Affected by wind, temperature change, rains, humidity, bird droppings, and dust",Internal (DS/OUV),,,,,"International UNESCO Campaign (1960–1980): Monuments were disassembled, moved, and reconstructed to save them from Nile flooding",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
1073,Gebel Barkal and the Sites of the Napatan Region,Sudan,"Tombs (with and without pyramids), temples, burial mounds/funerary chambers, living complexes, and palaces; nan",Internal (DS/OUV),,Napatan (900 to 270 BC) and Meroitic (270 BC to 350 AD) cultures; New Kingdom origins (ca. 1500 BC) up to 6th Century AD,Internal (DS/OUV),,Kushite civilization (Second Kingdom of Kush / Napato-Meroitic),Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Sandstone,Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,sandstone,,,,,,,,,,,,,,,,,,,,,Sudan,Internal (DS/OUV),,Local (rock-cut features and sacred flat-topped mountain),Internal (DS/OUV),,,,,"Flat-topped mountain rock, steep-angled pyramids, corbel vaults of tombs, wall structures, rock-cut burial chambers",Internal (DS/OUV),,"Reliefs, wall inscriptions, old script writings, and painted scenes on walls",Internal (DS/OUV),,"Corbel vaults, rock-cut chambers",Internal (DS/OUV),,Affected by the action of nature and man,Internal (DS/OUV),,,,,Limited inadequate restoration interventions of the last century,Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,Pre-Angkorian / Chenla Period Khmer Architecture (including octagonal temples reflecting flying octagonal palaces / Vimana Trivishtapa); nan,Internal (DS/OUV),,Late 6th and early 7th centuries AD (with repairs/modifications from 7th to 11th century),Internal (DS/OUV),,Chenla Empire / Kingdom,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,"Sandstone, Fired Brick, Laterite",Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fired brick and/or laterite for enclosure walls, central towers, and surrounding structures",Internal (DS/OUV),,"Sandstone used for decorative details (lintels, pediments, colonnades, and sculptures)",Internal (DS/OUV),,Brick construction with sandstone detailing and sympathetic brickwork restoration using traditional techniques,Internal (DS/OUV),,"Degradation caused by ravages of time, vagaries of climate, forest encroachment, decay, and recent historical conflict/war zone",Internal (DS/OUV),,Sympathetic restoration to damaged brickwork using old/traditional bricks,Internal (DS/OUV),,"Reversible, minor reconstruction focused on ensuring structural stability without hypothetical reconstruction",Internal (DS/OUV),,Poor,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,Pre-Angkorian / Chenla Period Khmer Architecture (including octagonal temples reflecting flying octagonal palaces / Vimana Trivishtapa); nan,Internal (DS/OUV),,Late 6th and early 7th centuries AD (with repairs/modifications from 7th to 11th century),Internal (DS/OUV),,Chenla Empire / Kingdom,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,"Sandstone, Fired Brick, Laterite",Laterite,Laterite,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fired brick and/or laterite for enclosure walls, central towers, and surrounding structures",Internal (DS/OUV),,"Sandstone used for decorative details (lintels, pediments, colonnades, and sculptures)",Internal (DS/OUV),,Brick construction with sandstone detailing and sympathetic brickwork restoration using traditional techniques,Internal (DS/OUV),,"Degradation caused by ravages of time, vagaries of climate, forest encroachment, decay, and recent historical conflict/war zone",Internal (DS/OUV),,Sympathetic restoration to damaged brickwork using old/traditional bricks,Internal (DS/OUV),,"Reversible, minor reconstruction focused on ensuring structural stability without hypothetical reconstruction",Internal (DS/OUV),,Poor,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
240,Khajuraho Group of Monuments,India,Nagara-style temple architecture; nan,Internal (DS/OUV),,10th and 11th centuries CE (950–1050 CE),Internal (DS/OUV),,Chandella dynasty,Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,Sandstone,Sandstone,Sandstone,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elevated terraced platform (jagati), body (jangha), sanctum (garbhagriha), main hall (mandapa), entrance porch (ardhamandapa), vestibule (antarala), tower (shikhara), spires",Internal (DS/OUV),,"Sculpted surfaces depicting sacred/secular themes, anthropomorphic and non-anthropomorphic motifs, deities, amorous couples, dancers, and musicians",Internal (DS/OUV),,,,,Vibrations and dust particles from the nearby Khajuraho Airport identified as potential threats,Internal (DS/OUV),,,,,Managed under the Ancient Monuments and Archaeological Sites and Remains (AMASR) Act,Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Egypt,"Rock tombs, ornate mastabas, temples, pyramids, palaces, craftsmen’s workshops, dockyards, arsenals, residential neighbourhoods; nan",Internal (DS/OUV),,"3000 BC (Old Kingdom through Middle, New, Late, and Ptolemaic Periods)",Internal (DS/OUV),,Ancient Egyptian / Pharaonic,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Limestone,Limestone,Limestone,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egypt,Internal (DS/OUV),,,,,,,,"Monumental stone building, pyramids (e.g., Step Pyramid of Djoser, Great Pyramid of Khufu), step pyramids, temples, tombs",Internal (DS/OUV),,,,,"Rock-cut tombs, mastaba, pyramid constructions",Internal (DS/OUV),,"Damage from natural forces through time, causing surface detail vulnerabilities",Internal (DS/OUV),,,,,Principles of restoration applied respecting legibility and reversibility (Ministry of Antiquities projects),Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
1503,Nan Madol: Ceremonial Centre of Eastern Micronesia,Micronesia (Federated States of),"Remains of stone palaces, temples, tombs, mortuaries, domestic and residential domains, and seawalls / megalithic ceremonial centre; nan",Internal (DS/OUV),,1200–1500 CE (with ceremonial centre roots from ~1000 years ago),Internal (DS/OUV),,Saudeleur dynasty,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,"Basalt, Columnar Basalt, Coral Boulders",Basalt,Basalt,Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,Coral boulders,Internal (DS/OUV),,,,,Basalt / Columnar Basalt,Internal (DS/OUV),,,,,,,,,,,Columnar structure,Internal (DS/OUV),,,,,Quarries elsewhere on Pohnpei Island,Internal (DS/OUV),,Micronesia (Federated States of) / Pohnpei Island,Internal (DS/OUV),,Local (transported from elsewhere on the island of Pohnpei),Internal (DS/OUV),,,,,"Islet perimeter walls, megalithic structures, temples, palaces, tombs, residential domains",Internal (DS/OUV),,,,,Massive columnar basalt stones laid using a distinctive 'header-stretcher technique',Internal (DS/OUV),,"Siltation of waterways, overgrowth of vegetation, mangrove encroachment, storm surge effects, stonework collapse",Internal (DS/OUV),,,,,No reconstructions of original elements (restoration/conservation management under development),Internal (DS/OUV),,Moderate,,,Yes,,,,Tier 9: Unflagged,
1503,Nan Madol: Ceremonial Centre of Eastern Micronesia,Micronesia (Federated States of),"Remains of stone palaces, temples, tombs, mortuaries, domestic and residential domains, and seawalls / megalithic ceremonial centre; nan",Internal (DS/OUV),,1200–1500 CE (with ceremonial centre roots from ~1000 years ago),Internal (DS/OUV),,Saudeleur dynasty,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,"Basalt, Columnar Basalt, Coral Boulders",Columnar Basalt,Basalt,Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,Coral boulders,Internal (DS/OUV),,,,,Basalt / Columnar Basalt,Internal (DS/OUV),,,,,,,,,,,Columnar structure,Internal (DS/OUV),,,,,Quarries elsewhere on Pohnpei Island,Internal (DS/OUV),,Micronesia (Federated States of) / Pohnpei Island,Internal (DS/OUV),,Local (transported from elsewhere on the island of Pohnpei),Internal (DS/OUV),,,,,"Islet perimeter walls, megalithic structures, temples, palaces, tombs, residential domains",Internal (DS/OUV),,,,,Massive columnar basalt stones laid using a distinctive 'header-stretcher technique',Internal (DS/OUV),,"Siltation of waterways, overgrowth of vegetation, mangrove encroachment, storm surge effects, stonework collapse",Internal (DS/OUV),,,,,No reconstructions of original elements (restoration/conservation management under development),Internal (DS/OUV),,Moderate,,,Yes,,,,Tier 9: Unflagged,
1503,Nan Madol: Ceremonial Centre of Eastern Micronesia,Micronesia (Federated States of),"Remains of stone palaces, temples, tombs, mortuaries, domestic and residential domains, and seawalls / megalithic ceremonial centre; nan",Internal (DS/OUV),,1200–1500 CE (with ceremonial centre roots from ~1000 years ago),Internal (DS/OUV),,Saudeleur dynasty,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,"Basalt, Columnar Basalt, Coral Boulders",Coral Boulders,Coral Stone,Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,Coral boulders,Internal (DS/OUV),,,,,Basalt / Columnar Basalt,Internal (DS/OUV),,,,,,,,,,,Columnar structure,Internal (DS/OUV),,,,,Quarries elsewhere on Pohnpei Island,Internal (DS/OUV),,Micronesia (Federated States of) / Pohnpei Island,Internal (DS/OUV),,Local (transported from elsewhere on the island of Pohnpei),Internal (DS/OUV),,,,,"Islet perimeter walls, megalithic structures, temples, palaces, tombs, residential domains",Internal (DS/OUV),,,,,Massive columnar basalt stones laid using a distinctive 'header-stretcher technique',Internal (DS/OUV),,"Siltation of waterways, overgrowth of vegetation, mangrove encroachment, storm surge effects, stonework collapse",Internal (DS/OUV),,,,,No reconstructions of original elements (restoration/conservation management under development),Internal (DS/OUV),,Moderate,,,Yes,,,,Tier 9: Unflagged,
949,My Son Sanctuary,Viet Nam,Tower-temples (Religious and political capital of the Champa Kingdom); Architectural ensemble; nan,Internal (DS/OUV),,4th to 13th centuries CE,Internal (DS/OUV),,Champa Kingdom (Cham civilization / Dua Clan),Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;",Internal (DS/OUV),,Sandstone (used for pillars and carved bas-reliefs),Sandstone (used for pillars,Sandstone,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fired brick (main construction), Stone pillars",Internal (DS/OUV),,"Sandstone bas-reliefs (depicting scenes from Hindu mythology), Intricate carved-brick decorations",Internal (DS/OUV),,Brick construction with stone elements,Internal (DS/OUV),,Severe climatic conditions (flooding and high humidity),Internal (DS/OUV),,,,,Historical interventions under French and Polish expert guidance; Ongoing conservation by national and international teams,Internal (DS/OUV),,Moderate,,,Yes,,,,Tier 9: Unflagged,
1442,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,"China,Kazakhstan,Kyrgyzstan","Capital cities, palace complexes, Buddhist cave temples, posthouses, passes, beacon towers, sections of the Great Wall, fortifications, tombs, stupas/pagodas, caravanserai, semi-underground buildings; nan",Internal (DS/OUV),,2nd century BC to 16th century AD (flourished 6th to 14th century AD),Internal (DS/OUV),,"Han and Tang Dynasties (China), Sogdians, Turks, Khan Kingdoms, Zhetysu region empires",Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Loess; unbaked/exposed mud brick (in Zhetysu region),Loess,Loess,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,,,,Loess,,,,,,Quaternary (Loess Plateau deposits),Internal (DS/OUV),,,,,,,,"Fine-grained, wind-blown silt (Loess)",Internal (DS/OUV),,,,,,,,"China, Kazakhstan, Kyrgyzstan",Internal (DS/OUV),,"Local (Loess plateau soils, clay/mud bricks sourced on-site)",Internal (DS/OUV),,,,,"Earthen walls, subterranean structures, cave temple excavations, beacon towers, earthen fortifications, foundations",Internal (DS/OUV),,Relief carvings and statues in Buddhist cave temples,Internal (DS/OUV),,"Rammed earth (hangtu), carved cave-temple rock-cut masonry, unbaked mud-brick masonry",Internal (DS/OUV),,"High vulnerability to water/wind erosion, severe atmospheric deterioration on exposed earth/brick structures",Internal (DS/OUV),,,,,Backfilling and earth covering of exposed brick structures (Zhetysu region); traditional-style screen wall interventions,Internal (DS/OUV),,Poor,,,Yes,,,,Tier 9: Unflagged,
666,"Lumbini, the Birthplace of the Lord Buddha",Nepal,"Monument, Plan, Structure; temples; nan",Internal (DS/OUV),,3rd century BC to the present century (Maya Devi Temple / Brick structures); 3rd century BC to 5th century AD (Viharas); 3rd century BC to 15th century AD (Stupas); 249 BC (Asoka Pillar),Internal (DS/OUV),,Mauryan / Ancient & Medieval Indian–Nepalese Buddhist,Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Sandstone,Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,Brick (Ceramic/burnt clay masonry),Internal (DS/OUV),,,,,Sandstone,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandstone Ashoka pillar; Brick cross-wall system in Maya Devi Temple; Monasteries (Viharas); Stupas (Shrines),Internal (DS/OUV),,Brahmi Pali Inscription on Ashoka Pillar,Internal (DS/OUV),,Cross-wall system (Brick),Internal (DS/OUV),,"Natural degradation, impact of humidity",Internal (DS/OUV),,,,,"Active conservation, monitoring, series of excavations since 1896 discovery",Internal (DS/OUV),,Excellent,,,No,,,,Tier 9: Unflagged,
243,Ellora Caves,India,"Rock-cut architecture (Viharas/Monasteries, Chaityagriha/Sanctuary, and Monolithic Temples); nan",Internal (DS/OUV),,"5th century to 12th century A.D. (Three phases: Buddhist 5th–8th c., Brahmanical 7th–10th c., Jaina 9th–12th c.)",Internal (DS/OUV),,"Ancient India (Buddhism, Brahmanism/Hinduism, and Jainism)",Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Basalt,Basalt,Basalt,,,Igneous Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,Direct in-situ rock excavation (Charanandri Hills / Basalt Cliff),Internal (DS/OUV),,India,Internal (DS/OUV),,Local (in-situ monolithic excavation),Internal (DS/OUV),,,,,"Excavated sanctuaries, pillared halls (mandapas), rock-cut monolithic temples, monasteries (viharas)",Internal (DS/OUV),,"Sculptured compositions, high plastic quality relief carvings, and ceiling paintings",Internal (DS/OUV),,Rock-cut monolithic excavation (dug directly into the cliff side),Internal (DS/OUV),,Seepage and cracking in the caves,Internal (DS/OUV),,,,,"Comprehensive Conservation Management Plan implementation, condition survey",Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
