Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
810,Historic City of Trogir,Croatia,"Hellenistic orthogonal plan, Romanesque churches, Gothic and Renaissance buildings/palaces, Baroque, Byzantine, Venetian fortifications, Fortress (Camerlengo), Cathedral, Basilica, Town Hall; nan",Internal (DS/OUV),,"Hellenistic period (3rd century BC), Medieval period, 13th to 16th century (Cathedral built ~1200–late 16th century), 14th–15th century (Town Hall), Venetian period",Internal (DS/OUV),,"Greek colonists, Roman, Byzantine, Hungarian, Venetian",Internal (DS/OUV),,,Internal (DS/OUV),,Limestone,Internal (DS/OUV),,Sedimentary Rock,,,,,,Local limestone,Internal (DS/OUV),,,,,,,,,,,Mellowed with a golden patina,Internal (DS/OUV),,,,,,,,,,,Croatia,Internal (DS/OUV),,Local,Internal (DS/OUV),,,,,"Walls, residential blocks, fortifications, cathedral, basilica, bell tower, foundations, town hall, palaces",Internal (DS/OUV),,"Sculpture, portals (south portal, main west portal by Master Radovan)",Internal (DS/OUV),,"Megalithic wall, Vaulting (main nave)",Internal (DS/OUV),,"Sea level rise, climate change, past heavy vehicle traffic, patina accumulation",Internal (DS/OUV),,Authentic materials (where replacement is necessary),Internal (DS/OUV),,Rejection of abrasive stone cleaning in favor of maintaining patina; authentic materials and traditional techniques employed,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
601,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",France,skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
149,Archaeological Park and Ruins of Quirigua,Guatemala,"Pyramids, terraces, staircases, dwellings, royal residence, administrative centre; nan",Internal (DS/OUV),,200 AD – 900 AD (Monuments carved 426 AD – 810 AD; major 8th-century remodelling),Internal (DS/OUV),,Maya (Mayan),Internal (DS/OUV),,,Internal (DS/OUV),,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,Jade (mentioned in context of trade route control),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pyramids, terraces, staircases, plazas",,,"Monolithic stelae, carved altars, sculpted calendars, zoomorphic & anthropomorphic sculptures",Internal (DS/OUV),,"Carved in sandstone without the use of metal tools; high relief (""School of Motagua"" style)",Internal (DS/OUV),,"Damage caused by environmental factors, flooding (1998, 2010), and proximity to Motagua River and geological fault",Internal (DS/OUV),,,,,Minimal conservation interventions; new shelter facilities and designs developed for individual monument protection,Internal (DS/OUV),,Excellent,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
518,Poblet Monastery,Spain,"Cistercian abbey / Abbey, Monastery complex (includes church, cloister, fortified royal residence, chapter house, refectory, pantheon, etc.); nan",Internal (DS/OUV),,12th to 15th centuries (Church dates to the 13th century),Internal (DS/OUV),,Crown of Aragon / Kingdom of Catalonia and Aragon,Internal (DS/OUV),,,Internal (DS/OUV),,"Alabaster (retable of the high altar by Damià Forment, 1529)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High altar retable (made of alabaster),Internal (DS/OUV),,,,,,,,,,,"Retable of the high altar, church, refectory, cloister, chapter house, scriptorium, and abbot’s palace restored since 1940",Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
549,"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",Italy,skipped; nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
255,Fatehpur Sikri,India,"Mughal Architecture / Indo-Islamic Style (Palaces, Public Buildings, Mosques, Living Areas, Fortifications); nan",Internal (DS/OUV),,1571–1573 (City construction); Mosque completed in 1571–72; Tomb completed in 1580–81 / 1606; Buland Darwaza completed in 1575,Internal (DS/OUV),,Mughal Empire,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Red Sandstone (Major), Marble (Secondary/Minor)",Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,Marble,Internal (DS/OUV),,,,,,,,Vindhyan (Stratigraphic Group mentioned for hill ranges),Internal (DS/OUV),,,,,"Red (Sandstone), White (implied Marble)",Internal (DS/OUV),,"Perforated (Stone screens), Carved",Internal (DS/OUV),,,,,Outcrops of the Vindhyan hill ranges (Mining within 10-km radius banned),Internal (DS/OUV),,India,Internal (DS/OUV),,Local (Extracted from nearby Vindhyan outcrops),Internal (DS/OUV),,Local / Immediate vicinity (within 10-km radius),,,"Wall, Porticos, Pillars, Roofs, Gate (Buland Darwaza), Towers (Hiran Minar), Fortification",Internal (DS/OUV),,"Perforated stone screens, Sculpted decoration, Richly carved interior pillars, Azure-blue ribbed roof",Internal (DS/OUV),,"Perforated stone screens, Sculpted decoration, Richly carved interior pillars, Azure-blue ribbed roof",Internal (DS/OUV),,,,,,,,"Repairs, chemical preservation, and restoration carried out on Buland Darwaza, Jama Masjid, Shaikh Salim Chisti's Tomb, Khwabgah, Mariam's house, Jodha Bai Palace, Diwan-i-Am, etc.",Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
384,Old Town of Cáceres,Spain,"Roman, Islamic, Northern Gothic, Italian Renaissance, Fortified/Nobility architecture (fortress-houses, palace-houses); nan",Internal (DS/OUV),,"14th to 16th centuries (including 15th-century fortress-houses & 16th-century palace-houses; traces back to Roman, Arab/Almohad, & Pre-Roman times)",Internal (DS/OUV),,"Pre-Roman, Roman, Islamic / Arab (Almohades), Jewish, Medieval Christian",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,Granite,Internal (DS/OUV),,Igneous Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,Internal (DS/OUV),,Local (Inferred from nobility/masonry constructions),Internal (DS/OUV),,,,,"Defenses, Defensive walls, Towers (Torre del Bujaco, Torre Mochada, Púlpitos), Fortified houses, Palaces, Churches",Internal (DS/OUV),,,,,Granite Masonry,Internal (DS/OUV),,,,,,,,Historical refurbishment during medieval Christian times & Almohade phase; modern physical and functional rehabilitation under the Special Revitalization and Protection Plan,,,Excellent,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
816,Changdeokgung Palace Complex,Republic of Korea,skipped; nan,,,,,,,,,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier 9: Unflagged,
1073,Gebel Barkal and the Sites of the Napatan Region,Sudan,"Tombs (with and without pyramids), temples, burial mounds/funerary chambers, living complexes, and palaces; nan",Internal (DS/OUV),,Napatan (900 to 270 BC) and Meroitic (270 BC to 350 AD) cultures; New Kingdom origins (ca. 1500 BC) up to 6th Century AD,Internal (DS/OUV),,Kushite civilization (Second Kingdom of Kush / Napato-Meroitic),Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,sandstone,,,,,,,,,,,,,,,,,,,,,Sudan,Internal (DS/OUV),,Local (rock-cut features and sacred flat-topped mountain),Internal (DS/OUV),,,,,"Flat-topped mountain rock, steep-angled pyramids, corbel vaults of tombs, wall structures, rock-cut burial chambers",Internal (DS/OUV),,"Reliefs, wall inscriptions, old script writings, and painted scenes on walls",Internal (DS/OUV),,"Corbel vaults, rock-cut chambers",Internal (DS/OUV),,Affected by the action of nature and man,Internal (DS/OUV),,,,,Limited inadequate restoration interventions of the last century,Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
323,Royal Palaces of Abomey,Benin,"Cob-wall fortified palace ensemble with courtyards (outer, inner, private), portals, and traditional structures (Djexo, Adoxo); nan",Internal (DS/OUV),,1625 to 1900,Internal (DS/OUV),,Kingdom of Dahomey / Aja-Fon culture,Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,Laterite,Internal (DS/OUV),,Sedimentary Rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,"Red / Earth tone (implied by laterite clay/cob, but explicit geological color profile is NA)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Enclosure walls, sacred structures (Djexo, Adoxo tombs), and palaces",Internal (DS/OUV),,Polychrome bas-reliefs,Internal (DS/OUV),,"Cob-wall construction (bâtiment en bauge) using laterite earth, water, wood, and straw",Internal (DS/OUV),,Precariousness of earth/traditional building materials under natural phenomena,Internal (DS/OUV),,"Traditional materials (laterite, wood, straw) used during rehabilitation",Internal (DS/OUV),,Over half of the 184 identified components restored in accordance with accepted conservation standards; monitored via risk management and conservation plans,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
1106,Pasargadae,Iran (Islamic Republic of),"Capital, Palaces, Gardens, Gatehouse, Audience Hall, Residential Palace, Mausoleum/Tomb, Fortified Platform (Tall-e Takht), Citadel; nan",Internal (DS/OUV),,6th century BC,Internal (DS/OUV),,Persian / Achaemenid (First Persian) Empire,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,Limestone ,Internal (DS/OUV),,Sedimentary Rock,,,Mud-brick (mentioned for Tall-e Takht defenses),Internal (DS/OUV),,,,,Compact limestone,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,"Local (Morgab plain setting mentioned, though quarry origin is not specified) / NA",Internal (DS/OUV),,,,,"Tomb (compact limestone tomb holding Cyrus the Great’s gilded sarcophagus), Fortified Platform (Tall-e Takht), Waterways/Pathways (Four Gardens)",Internal (DS/OUV),,"Refined details, slender verticality",Internal (DS/OUV),,Mud-brick construction (citadel/fortified platform); Refined stone architecture,Internal (DS/OUV),,"Erosion (physical, chemical, environmental), violent winds, burning sun, flooding",Internal (DS/OUV),,,,,Recent restoration utilizing traditional technology and materials in harmony with the ensemble; poor condition of mud-brick due to 1960s excavations,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,Pre-Angkorian / Chenla Period Khmer Architecture (including octagonal temples reflecting flying octagonal palaces / Vimana Trivishtapa); nan,Internal (DS/OUV),,Late 6th and early 7th centuries AD (with repairs/modifications from 7th to 11th century),Internal (DS/OUV),,Chenla Empire / Kingdom,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,"Sandstone, Fired Brick, Laterite",Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fired brick and/or laterite for enclosure walls, central towers, and surrounding structures",Internal (DS/OUV),,"Sandstone used for decorative details (lintels, pediments, colonnades, and sculptures)",Internal (DS/OUV),,Brick construction with sandstone detailing and sympathetic brickwork restoration using traditional techniques,Internal (DS/OUV),,"Degradation caused by ravages of time, vagaries of climate, forest encroachment, decay, and recent historical conflict/war zone",Internal (DS/OUV),,Sympathetic restoration to damaged brickwork using old/traditional bricks,Internal (DS/OUV),,"Reversible, minor reconstruction focused on ensuring structural stability without hypothetical reconstruction",Internal (DS/OUV),,Poor,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
880,"Summer Palace, an Imperial Garden in Beijing",China,skipped; nan,,,,,,,,,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Tier 9: Unflagged,
795,Maritime Greenwich,United Kingdom of Great Britain and Northern Ireland,"Ensemble of Baroque, Palladian, and Classical buildings, including a Royal Palace, Naval College, Chapel, Observatory, and Royal Park.; nan",Internal (DS/OUV),,"17th and 18th centuries (e.g., St Alphege’s church rebuilt 1712–14; Royal Observatory founded 1675).",Internal (DS/OUV),,British / European (Royal Kingdom of Great Britain).,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Slate,Internal (DS/OUV),,Metamorphic Rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roofing material (slate roofs on town terraces).,Internal (DS/OUV),,Stucco finishes (stuccoed terraces).,Internal (DS/OUV),,Stuccoed masonry and slated roofing.,Internal (DS/OUV),,,,,,,,"Ongoing detailed landscape maintenance, urban pattern restoration, and coordinated building conservation plans.",,,Good,,,Yes,,,,Tier 9: Unflagged,
1549,Historic Centre of Sheki with the Khan’s Palace,Azerbaijan,"skipped, promising; nan",,,,,,,,,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Tier 9: Unflagged,
1211,Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,Italy,Renaissance and Baroque palaces; nan,Internal (DS/OUV),,Late 16th and early 17th centuries (Siglo de los Genoveses: 1563–1640),Internal (DS/OUV),,Republic of Genoa / Genoese,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,Marble,Internal (DS/OUV),,Metamorphic Rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pillars,Internal (DS/OUV),,"Marble terraces, Stuccos, Frescoes",Internal (DS/OUV),,,,,,,,,,,Façades and interiors restored; damaged upper story of one palace rebuilt post-war,Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
